1,2,3,4,5,13,14,18,19,20,21,23,24,25,26,27,28,29,30,31,32,33,36,38,39,40
0.0,-0.002,0.0,0.0,0.0,-0.017,-0.031,-0.249,-0.153,-0.183,-0.38,-0.034,-0.049,-0.121,-0.094,-0.092,0.0,-0.005,0.0,0.0,-0.001,-0.009,-0.002,-0.092,-0.006,0.0
-0.01,-0.043,-0.008,-0.055,-0.01,-0.046,-0.106,-0.33,-0.226,-0.424,-0.778,-0.133,-0.23,-0.267,-0.206,-0.203,-0.004,-0.027,0.0,0.0,-0.033,-0.024,-0.045,-0.259,-0.064,-0.027
-0.025,-0.087,-0.042,-0.098,-0.05,-0.136,-0.225,-0.694,-0.471,-0.863,-1.382,-0.305,-0.337,-0.426,-0.246,-0.242,-0.003,-0.033,-0.005,-0.005,-0.054,-0.048,-0.122,-0.439,-0.126,-0.079
-0.064,-0.113,-0.149,-0.179,-0.167,-0.241,-0.341,-2.362,-0.658,-1.37,-2.045,-0.339,-0.409,-0.672,-0.307,-0.301,-0.01,-0.056,-0.029,-0.013,-0.085,-0.08,-0.182,-0.619,-0.287,-0.128
-0.169,-0.157,-0.442,-0.31,-0.38,-0.314,-0.588,-2.423,-0.98,-1.661,-2.436,-0.416,-0.69,-1.247,-0.427,-0.418,-0.029,-0.099,-0.066,-0.032,-0.114,-0.126,-0.197,-0.811,-0.484,-0.142
-0.328,-0.254,-0.559,-0.452,-0.441,-0.314,-0.841,-2.85,-2.024,-1.668,-2.927,-0.565,-0.93,-1.012,-0.881,-0.813,-0.058,-0.131,-0.119,-0.044,-0.148,-0.23,-0.329,-1.436,-0.5,-0.168
-0.465,-0.404,-0.642,-0.586,-0.517,-0.407,-1.254,-3.342,-2.458,-1.972,-3.325,-0.67,-0.897,-1.32,-1.248,-1.1,-0.078,-0.155,-0.156,-0.143,-0.109,-0.309,-0.667,-2.104,-0.537,-0.326
-0.575,-0.593,-0.829,-0.915,-0.869,-0.6,-1.781,-3.156,-2.791,-2.368,-3.546,-1.367,-1.144,-1.605,-1.053,-0.998,-0.069,-0.166,-0.247,-0.175,-0.137,-0.358,-0.858,-2.693,-0.675,-0.345
-0.658,-0.759,-1.237,-1.676,-1.357,-0.782,-1.813,-3.486,-2.984,-2.631,-3.588,-1.801,-0.988,-0.79,-0.801,-0.796,-0.064,-0.16,-0.178,-0.166,-0.178,-0.565,-1.082,-2.612,-2.468,-0.322
-0.66,-0.898,-1.533,-1.728,-1.662,-1.189,-1.965,-3.944,-3.186,-2.738,-3.835,-1.789,-0.813,-0.439,-0.833,-0.826,-0.113,-0.165,-0.18,-0.196,-0.139,-0.677,-1.211,-1.192,-1.47,-0.274
-0.863,-1.19,-2.203,-2.822,-2.559,-1.401,-1.796,-4.161,-3.39,-2.872,-3.892,-1.262,-1.705,-0.659,-0.718,-0.702,-0.11,-0.192,-0.245,-0.248,-0.173,-0.742,-1.58,-1.427,-0.819,-0.406
-1.171,-1.473,-2.381,-3.098,-2.903,-1.902,-1.71,-4.347,-3.537,-2.594,-4.038,-1.295,-1.764,-1.293,-0.698,-0.682,-0.134,-0.171,-0.315,-0.276,-0.222,-0.63,-2.049,-1.991,-0.899,-1.104
-1.304,-1.57,-2.259,-2.537,-2.734,-1.879,-2.559,-3.499,-3.661,-2.33,-2.733,-1.096,-0.89,-1.921,-0.582,-0.572,-0.143,-0.184,-0.456,-0.302,-0.281,-0.54,-3.022,-3.131,-1.757,-1.493
