-0.039643,0.0093672,-0.036401,-0.025061,0.02531,-0.11013,-0.044605,-0.50517,-0.41329,-0.15839,-2.3115,-1.5765,-0.42214,-0.1835,-0.16332,-0.39696,-0.029539,-0.44172,-0.095283,-0.06981,-0.49981,-0.62029,-0.42208,-0.061675,-0.10727,-0.30553,-0.54068,-1.8117,-0.3072,-0.1286
-0.094352,-0.017692,-0.10487,-0.087053,0.0079222,-0.15378,0.093538,-0.57019,-0.47782,-0.28308,-1.3207,-0.99719,-0.71698,-0.33374,-0.20576,-0.48177,-0.45499,-0.45386,0.13111,0.13413,-0.57958,-0.61388,-0.50106,-0.17334,0.027757,-0.11358,-0.38069,-1.3601,-0.21773,-0.10643
-0.29483,-0.15924,-0.4045,-0.40869,-0.10837,0.14518,0.07011,-0.34846,-0.66912,-0.4012,-1.5403,-0.87648,-0.5658,-0.22421,-0.54234,-0.58374,-0.514,-0.70864,0.17834,0.19327,-0.47981,-0.46874,-0.36179,-0.20157,0.099671,-0.50749,-0.2845,-0.9515,-0.28918,-0.10588
-0.12447,-0.15089,-0.24382,-0.25645,-0.14768,0.10402,-0.059907,-0.70082,-0.93701,-0.72083,-1.5832,-0.68491,-0.61366,-0.14658,-0.40428,-0.79078,-0.4044,-0.27395,0.22948,0.24681,-0.30269,-0.38783,-0.22922,-0.19322,-0.014169,-0.483,-0.30409,-0.8216,-0.24336,-0.16549
-0.20125,-0.051834,-0.056356,-0.054108,-0.13483,0.1604,-0.032939,-0.66629,-1.2553,-0.85378,-0.73839,-0.33042,-0.52427,-0.11094,-0.48429,-0.47104,-0.46297,-0.23139,0.42179,0.43768,-0.19805,-0.29783,-0.34183,-0.10678,0.10774,-0.35351,-0.49948,-0.66764,-0.21338,0.012853
-0.015869,-0.038235,-0.041612,-0.049627,-0.087379,0.16684,-0.016778,-0.38109,-0.82217,-0.41893,-0.66607,-0.48214,-0.55901,-0.12383,-0.43522,-0.28399,-0.66625,-0.21381,0.41135,0.43505,-0.13159,-0.29898,-0.32589,0.00047924,0.1075,-0.11086,-0.3607,-0.55277,-0.20722,-0.11764
-0.071008,-0.047689,-0.052762,-0.048194,0.090961,0.091206,-0.0048235,-0.3216,-0.29036,-0.11807,-0.89988,-0.43242,-0.55456,-0.23901,-0.14873,-0.32745,-0.49189,-0.15904,0.23217,0.2367,-0.11772,-0.50662,-0.26145,0.001151,-0.036603,-0.020917,-0.21791,-0.6843,-0.25867,-0.13646
-0.046185,0.032506,-0.0076536,-0.0034678,0.20183,0.098892,0.1572,-0.096314,-0.18707,-0.10314,-0.88266,-0.16333,-0.4825,-0.097894,-0.072463,-0.31182,-0.3699,-0.071518,0.24773,0.24354,-0.076811,-0.36031,-0.34577,-0.12711,0.1216,-0.013218,0.013742,-0.42873,-0.23583,0.091169
0.1076,0.20471,-0.096655,-0.093465,0.093897,0.15197,0.19049,0.048271,-0.3014,0.038477,-0.6659,0.044076,-0.34097,-0.056139,-0.036549,-0.098885,-0.23864,-0.051509,0.32967,0.33903,-0.21065,-0.33284,-0.32993,0.0091965,0.25081,-0.076854,-0.095797,-0.43394,-0.18896,0.24617
0.1114,0.11238,0.02019,0.025394,0.15861,0.092933,0.065734,-0.089126,-0.25647,-0.13464,-0.13946,-0.19284,-0.24363,0.055828,0.015583,-0.061902,-0.40446,-0.0020971,0.46721,0.47606,-0.25089,-0.30355,-0.23225,-0.00048149,0.13411,-0.054027,-0.13469,-0.37955,-0.080759,0.39141
