-1.9584,-0.82398,-0.83016,-0.76024,-1.0267,-0.22933,-1.577,-1.8382,-1.9606,-1.7268,-1.7044,-2.0344,-1.4033,-2.8516,-0.82653,-1.2609,-0.90671,-2.972,-3.8826,-1.9544,-3.456,-2.0328,-2.6565,-1.631,-1.1386,-0.68384,-0.68183,-0.60831,-0.70327,-0.96864,-0.65096,-0.85806,-0.99893,-0.55752,-2.826,-3.7927,-2.9344,-1.6274
-1.7682,-0.81438,-0.73342,-0.70987,-0.80065,-0.41085,-1.7329,-1.9271,-2.0489,-1.7651,-1.7497,-2.0806,-1.38,-2.7306,-0.68013,-1.1321,-0.75174,-2.8681,-3.6447,-1.9247,-3.0689,-1.8579,-2.5963,-1.8861,-1.0143,-0.45354,-0.45951,-0.55314,-0.67551,-0.96229,-0.68713,-0.81984,-1.0946,-0.58427,-2.8254,-3.3882,-2.7304,-1.5213
-1.7945,-0.6904,-0.61916,-0.80708,-0.80307,-0.33786,-1.5619,-1.8605,-1.9787,-1.8358,-1.8185,-2.0863,-1.313,-2.6054,-0.95925,-1.6001,-1.1417,-2.6477,-3.3944,-1.7473,-3.2258,-1.7524,-2.6112,-1.7171,-1.1231,-0.77425,-0.75773,-0.45113,-0.58995,-0.87251,-0.61562,-0.75993,-1.0958,-0.5692,-2.7794,-3.1472,-2.6416,-1.5472
-1.8166,-0.77891,-0.54938,-0.90429,-0.7735,-0.14514,-1.2943,-1.8622,-1.9831,-1.9321,-1.9175,-2.0846,-1.2385,-2.4383,-1.0296,-1.5075,-1.1547,-2.5266,-3.1264,-1.7695,-3.2871,-1.6694,-2.4375,-1.7615,-1.106,-0.78117,-0.78731,-0.38584,-0.49802,-0.74657,-0.54555,-0.61968,-0.95763,-0.53502,-2.5998,-3.1317,-2.5095,-1.5446
-1.9679,-0.89352,-0.45773,-0.91121,-0.78927,-0.21019,-1.4675,-1.8492,-1.9729,-1.855,-1.833,-2.109,-1.1288,-2.4947,-0.78816,-1.1374,-0.76176,-2.494,-2.8452,-1.4703,-3.2131,-1.5239,-2.458,-1.7972,-1.0378,-0.80128,-0.81108,-0.28955,-0.43055,-0.72859,-0.55334,-0.64208,-0.86079,-0.53468,-2.4376,-3.1057,-2.3932,-1.4071
-2.0699,-0.82347,-0.41456,-0.81054,-0.8187,-0.31057,-1.3204,-1.7906,-1.9175,-1.8151,-1.798,-1.9931,-1.1107,-2.3227,-0.75306,-1.1659,-0.88709,-2.3613,-2.5628,-1.2636,-3.0237,-1.3795,-2.4484,-1.502,-1.1094,-0.89901,-0.89441,-0.20652,-0.38357,-0.66311,-0.42998,-0.65408,-0.81879,-0.53898,-2.3333,-2.9553,-2.3504,-1.3058
-1.9509,-0.67108,-0.4708,-0.72719,-0.77009,-0.13372,-1.0968,-1.7702,-1.8941,-1.7781,-1.7618,-1.939,-1.0551,-2.1581,-0.71313,-1.2551,-0.92257,-2.0803,-2.2656,-1.2537,-2.718,-1.2611,-2.3981,-1.3102,-1.0616,-0.8741,-0.88416,-0.23847,-0.30192,-0.59782,-0.38551,-0.54537,-0.75428,-0.49949,-2.2063,-2.6572,-2.1025,-1.3915
-1.8651,-0.54706,-0.48047,-0.71631,-0.65469,-0.040821,-1.0934,-1.6868,-1.8127,-1.7348,-1.7296,-1.8519,-0.9715,-2.0704,-0.78404,-1.2291,-0.88296,-1.9183,-1.9965,-1.0926,-2.5208,-1.105,-2.3727,-1.2475,-1.0681,-0.8436,-0.85106,-0.16417,-0.2481,-0.53765,-0.1946,-0.56471,-0.64018,-0.43143,-2.0162,-2.5068,-2.0745,-1.2251
-1.6442,-0.38319,-0.48829,-0.70492,-0.58412,-0.032517,-0.94659,-1.6038,-1.7386,-1.6716,-1.6646,-1.7526,-0.80767,-1.8732,-0.70382,-1.0705,-0.80379,-1.659,-1.7719,-0.91429,-2.239,-0.96534,-2.1874,-1.2677,-1.0936,-0.80459,-0.80912,0.002406,-0.1971,-0.46181,-0.1382,-0.49434,-0.53652,-0.40691,-1.8288,-2.371,-1.7928,-1.1682
-1.4083,-0.26513,-0.46098,-0.59107,-0.51976,-0.016879,-0.84726,-1.5144,-1.6418,-1.5944,-1.5929,-1.6261,-0.71067,-1.7484,-0.48276,-0.73595,-0.54389,-1.5719,-1.5409,-0.83061,-1.978,-0.83109,-2.1104,-1.2335,-1.0252,-0.76176,-0.75742,0.052568,-0.17297,-0.41313,-0.14047,-0.54741,-0.47508,-0.41966,-1.6113,-2.1574,-1.551,-1.1306
