1,2,4,6,7,8,9,13,14,15,16,17,18,19,20,21,23,24,25,26,27,29,34,35,36,37,38,39,40
-2.95,-2.179,-1.18,-0.782,-2.04,-0.411,-0.385,-1.406,-1.231,-1.211,-0.733,-1.096,-2.837,-2.476,-2.86,-0.689,-1.365,-0.833,-1.059,-1.64,-1.646,-2.014,-1.133,-1.159,-1.8,-0.593,-3.147,-0.119,-0.015
-2.464,-2.734,-3.052,-1.849,-1.125,-0.564,-0.567,-1.68,-0.861,-2.118,-0.796,-1.626,-1.992,-1.376,-3.241,-1.012,-1.585,-0.496,-0.963,-1.119,-1.107,-2.188,-1.267,-1.299,-2.086,-0.741,-1.831,-0.236,-0.082
-3.123,-1.91,-2.944,-3.209,-2.483,-0.209,-0.183,-1.058,-0.786,-1.089,-0.64,-0.94,-3.095,-1.717,-2.727,-1.444,-2.214,-0.702,-1.649,-1.641,-1.63,-1.149,-1.512,-1.56,-1.761,-0.217,-0.515,-0.259,-0.109
-3.673,-2.528,-2.295,-1.056,-3.138,-0.719,-0.7,-1.358,-0.836,-2.11,-1.494,-2.038,-4.855,-2.668,-1.583,-1.524,-0.874,-0.714,-2.467,-2.783,-2.779,-0.753,-1.944,-1.986,-2.148,-0.309,-1.05,-0.215,-0.057
-2.246,-2.242,-3.636,-0.317,-4.026,-1.661,-1.637,-1.319,-0.788,-1.566,-1.226,-1.473,-4.029,-1.934,-1.931,-1.935,-1.131,-0.848,-1.894,-1.925,-1.92,-0.833,-1.55,-1.591,-1.726,-0.414,-0.647,-0.166,-0.158
-2.528,-2.505,-2.309,-0.472,-2.259,-1.747,-1.801,-1.306,-0.663,-0.977,-0.778,-0.971,-3.053,-2.6,-3.192,-1.469,-2.63,-0.611,-1.194,-1.328,-1.321,-0.615,-2.016,-2.048,-1.903,-0.301,-0.501,-0.089,-0.078
-1.942,-2.035,-1.558,-0.416,-1.23,-0.757,-0.754,-1.08,-0.767,-0.61,-0.483,-0.616,-3.587,-4.548,-1.578,-0.973,-1.671,-0.96,-1.928,-3.061,-3.036,-0.614,-1.843,-1.894,-2.926,-0.41,-0.889,-0.08,-0.085
-1.087,-1.589,-1.68,-0.755,-0.831,-0.471,-0.456,-0.606,-1.187,-0.636,-0.507,-0.693,-4.662,-4.538,-1.886,-2.689,-0.926,-1.25,-4.243,-4.368,-4.343,-0.354,-2.674,-2.722,-1.682,-0.316,-0.588,-0.103,-0.062
-0.918,-1.214,-2.505,-0.438,-0.498,-0.391,-0.375,-0.739,-0.761,-0.671,-0.553,-0.812,-2.612,-4.228,-1.033,-2.005,-0.742,-1.268,-3.855,-3.971,-3.962,-0.377,-2.095,-2.14,-1.021,-0.208,-0.522,-0.044,-0.102
-0.585,-0.989,-1.07,-0.252,-0.345,-0.452,-0.437,-0.494,-0.53,-0.611,-0.489,-0.677,-2.973,-3.152,-2.177,-1.22,-0.438,-1.196,-3.754,-3.686,-3.647,-0.986,-2.786,-2.835,-0.749,-0.191,-0.582,-0.09,-0.094
-0.384,-0.415,-0.767,-0.216,-0.252,-0.165,-0.143,-0.338,-0.374,-1.079,-0.946,-1.227,-1.21,-3.0,-1.208,-0.85,-0.368,-1.308,-3.298,-3.411,-3.393,-1.537,-2.367,-2.407,-0.91,-0.194,-0.441,-0.109,-0.095
-0.308,-0.249,-0.443,-0.117,-0.223,-0.134,-0.111,-0.513,-0.333,-0.23,-0.205,-0.277,-0.903,-1.712,-1.28,-0.882,-0.244,-1.137,-3.111,-3.391,-3.371,-0.649,-1.516,-1.561,-0.71,-0.27,-0.901,-0.077,-0.086
-0.321,-0.256,-0.235,-0.087,-0.19,-0.153,-0.131,-0.716,-0.471,-0.414,-0.497,-0.663,-1.237,-0.804,-1.04,-0.736,-0.253,-2.046,-2.977,-2.204,-2.182,-0.44,-1.559,-1.604,-0.554,-0.331,-1.622,-0.052,-0.098
-0.232,-0.266,-0.237,-0.088,-0.155,-0.128,-0.108,-0.435,-0.613,-0.417,-0.573,-0.793,-0.599,-0.771,-0.493,-0.465,-0.263,-1.665,-1.6,-1.864,-1.899,-0.457,-2.2,-2.242,-0.433,-0.247,-0.371,-0.041,-0.048
-0.125,-0.161,-0.282,-0.079,-0.164,-0.094,-0.07,-0.429,-0.314,-0.415,-0.629,-0.803,-1.78,-0.817,-0.367,-0.122,-0.249,-1.489,-1.668,-1.178,-1.17,-0.524,-2.842,-2.867,-0.284,-0.16,-0.131,-0.034,-0.026
-0.118,-0.177,-0.348,-0.055,-0.177,-0.143,-0.122,-0.252,-0.137,-0.418,-0.454,-0.636,-1.218,-0.954,-0.525,-0.154,-0.235,-1.596,-1.84,-1.336,-1.334,-0.887,-1.679,-1.695,-0.268,-0.048,-0.115,-0.038,-0.004
