-0.2681,-0.34033,-0.058387,-0.26412,-0.35141,-0.27881,-0.28008,-1.6342,-1.3666,-1.7347,-1.5445,-1.6298,-1.9139,-2.3295,-1.0063,-1.5923,-0.6256,-0.77776,-1.3034,-1.295,-0.11722,-0.11758,-0.35461,-2.3591,-1.8982,-1.2727,-2.1048
-0.28535,-0.058784,-0.12041,-0.12928,-0.31791,-0.1644,-0.18098,-1.6668,-1.4504,-1.5962,-1.2674,-1.5243,-1.5163,-2.2305,-1.1369,-1.4408,-0.46973,-0.9235,-1.3653,-1.2885,-0.0079782,-0.060267,-0.3703,-2.2066,-1.5695,-1.1107,-2.2068
-0.20558,0.15263,-0.20432,-0.023668,-0.12257,-0.099286,0.00019383,-1.6812,-1.1797,-1.3844,-0.86352,-1.3453,-1.5262,-1.9034,-1.0283,-1.5133,-0.52786,-0.92228,-0.87786,-0.84741,0.047678,-0.081454,-0.2705,-2.0587,-1.4007,-1.3305,-2.296
-0.23889,0.26491,-0.013785,-0.087436,-0.055026,-0.14742,0.085768,-1.3836,-1.0869,-1.3146,-0.71733,-1.0319,-1.4858,-1.9173,-0.81864,-1.4718,-0.39578,-0.6219,-1.1464,-1.1388,0.078374,0.04476,-0.046878,-1.8854,-1.3578,-1.3483,-2.0068
-0.3454,0.38638,0.025452,0.017776,-0.16842,-0.068724,0.065405,-0.99322,-0.94257,-1.1059,-0.6567,-0.81386,-1.2441,-1.8489,-0.66917,-1.2721,-0.21263,-0.59491,-0.94351,-0.94656,0.076795,0.19198,-0.089154,-1.6263,-1.2554,-0.98685,-1.7492
-0.14133,0.3443,-0.01589,0.050077,-0.11534,-0.0091392,0.18202,-0.98846,-0.91455,-1.0899,-0.67826,-0.58084,-0.96895,-1.7561,-0.43909,-1.0965,-0.29615,-0.059729,-0.92188,-0.9073,0.13008,0.014985,-0.030215,-1.4831,-1.1333,-0.37296,-1.7858
-0.12735,0.38813,0.15945,0.14898,-0.065771,0.050849,0.23121,-0.87381,-0.79742,-0.94233,-0.38923,-0.40435,-0.77253,-1.4919,-0.33846,-1.1851,-0.11722,-0.18609,-0.80532,-0.78914,0.076856,-0.13182,-0.024434,-1.3784,-0.99572,-0.44284,-1.7118
-0.068503,0.2605,0.19387,0.23781,0.05906,0.21808,0.19508,-0.66802,-0.6792,-0.80372,-0.44555,-0.26629,-0.63436,-1.3669,-0.42687,-0.82919,0.14508,-0.058958,-0.84378,-0.79802,0.0077833,0.032993,0.038433,-1.3337,-0.97135,-0.38866,-1.4213
0.010134,0.19306,0.25138,0.28675,0.0314,0.1681,0.10316,-0.73193,-0.76405,-0.75754,-0.41618,-0.20213,-0.38301,-1.1821,-0.23404,-0.77195,0.15013,-0.021641,-0.86568,-0.84715,0.015252,0.25567,-0.019977,-1.1231,-0.74207,-0.60789,-1.0107
0.097201,0.15531,0.41007,0.26053,0.047085,0.17021,0.075335,-0.60698,-0.65316,-0.63601,-0.078467,-0.11424,-0.30938,-0.86114,-0.073219,-0.78681,0.23682,-0.1402,-0.51981,-0.48663,-0.020665,0.168,-0.026421,-0.91965,-0.62163,-0.63476,-0.53827
