id,user_id,configuration_id,results,status,reason,instance_name,worker,created_at,updated_at,total_execution_time,priority_id
175,1,10,,4,,task10_1427656666_3,simple,2015-03-29 19:17:46 +0300,2015-03-29 22:26:17 +0300,,1
184,1,10,,4,,task10_1427656671_2,cloud,2015-03-29 19:17:51 +0300,2015-03-29 22:27:30 +0300,,1
185,1,10,,4,,task10_1427656671_3,cloud,2015-03-29 19:17:51 +0300,2015-03-29 22:28:18 +0300,,1
187,1,10,,4,,task10_1427656671_5,cloud,2015-03-29 19:17:51 +0300,2015-03-29 22:29:39 +0300,,1
180,1,10,,4,,task10_1427656666_8,simple,2015-03-29 19:17:46 +0300,2015-03-29 22:46:02 +0300,,1
194,1,12,,4,,task12_1427658853_2,simple,2015-03-29 19:54:13 +0300,2015-03-29 23:21:49 +0300,,1
206,1,12,,4,,task12_1427658856_2,cloud,2015-03-29 19:54:16 +0300,2015-03-29 23:02:59 +0300,,1
214,1,12,,4,,task12_1427658856_10,cloud,2015-03-29 19:54:16 +0300,2015-03-29 23:30:43 +0300,,1
199,1,12,,4,,task12_1427658853_7,simple,2015-03-29 19:54:13 +0300,2015-03-29 23:35:11 +0300,,1
208,1,12,,4,,task12_1427658856_4,cloud,2015-03-29 19:54:16 +0300,2015-03-29 23:05:09 +0300,,1
207,1,12,,4,,task12_1427658856_3,cloud,2015-03-29 19:54:16 +0300,2015-03-29 23:04:04 +0300,,1
204,1,12,,4,,task12_1427658853_12,simple,2015-03-29 19:54:13 +0300,2015-03-29 23:39:33 +0300,,1
215,1,12,,4,,task12_1427658856_11,cloud,2015-03-29 19:54:16 +0300,2015-03-29 23:24:12 +0300,,1
200,1,12,,4,,task12_1427658853_8,simple,2015-03-29 19:54:13 +0300,2015-03-29 23:40:23 +0300,,1
209,1,12,,4,,task12_1427658856_5,cloud,2015-03-29 19:54:16 +0300,2015-03-29 23:07:39 +0300,,1
212,1,12,,4,,task12_1427658856_8,cloud,2015-03-29 19:54:16 +0300,2015-03-29 23:22:30 +0300,,1
196,1,12,,4,,task12_1427658853_4,simple,2015-03-29 19:54:13 +0300,2015-03-29 23:04:07 +0300,,1
197,1,12,,4,,task12_1427658853_5,simple,2015-03-29 19:54:13 +0300,2015-03-29 23:32:07 +0300,,1
211,1,12,,4,,task12_1427658856_7,cloud,2015-03-29 19:54:16 +0300,2015-03-29 23:20:22 +0300,,1
205,1,12,,4,,task12_1427658856_1,cloud,2015-03-29 19:54:16 +0300,2015-03-29 23:11:15 +0300,,1
202,1,12,,4,,task12_1427658853_10,simple,2015-03-29 19:54:13 +0300,2015-03-29 23:24:09 +0300,,1
203,1,12,,4,,task12_1427658853_11,simple,2015-03-29 19:54:13 +0300,2015-03-29 23:42:14 +0300,,1
201,1,12,,4,,task12_1427658853_9,simple,2015-03-29 19:54:13 +0300,2015-03-29 23:23:30 +0300,,1
198,1,12,,4,,task12_1427658853_6,simple,2015-03-29 19:54:13 +0300,2015-03-29 23:13:18 +0300,,1
220,1,2,,2,,task2_1428941337_2,simple,2015-04-13 16:08:57 +0300,2015-04-13 19:09:17 +0300,,1
223,1,2,,1,,task2_1441620339_1,cloud,2015-09-07 10:05:39 +0300,2015-09-07 13:05:39 +0300,,1
219,1,2,,2,,task2_1428941337_1,simple,2015-04-13 16:08:57 +0300,2015-04-13 19:09:14 +0300,,1
120,1,4,,4,,task4_1427649425_4,cloud,2015-03-29 17:17:05 +0300,2015-03-29 20:23:41 +0300,,1
132,1,6,,4,,task6_1427652392_4,simple,2015-03-29 18:06:32 +0300,2015-03-29 21:21:31 +0300,,1
127,1,2,,4,,task2_1427652068_1,cloud,2015-03-29 18:01:08 +0300,2015-03-29 21:04:19 +0300,,1
125,1,2,,4,,task2_1427652064_1,simple,2015-03-29 18:01:04 +0300,2015-03-29 21:04:47 +0300,,1
126,1,2,,4,,task2_1427652064_2,simple,2015-03-29 18:01:04 +0300,2015-03-29 21:04:48 +0300,,1
128,1,2,,4,,task2_1427652068_2,cloud,2015-03-29 18:01:08 +0300,2015-03-29 21:06:03 +0300,,1
157,1,8,,4,,task8_1427655103_1,simple,2015-03-29 18:51:43 +0300,2015-03-29 21:58:30 +0300,,1
165,1,8,,4,,task8_1427655108_1,cloud,2015-03-29 18:51:48 +0300,2015-03-29 22:00:34 +0300,,1
160,1,8,,4,,task8_1427655104_4,simple,2015-03-29 18:51:44 +0300,2015-03-29 22:00:21 +0300,,1
167,1,8,,4,,task8_1427655108_3,cloud,2015-03-29 18:51:48 +0300,2015-03-29 22:00:57 +0300,,1
166,1,8,,4,,task8_1427655108_2,cloud,2015-03-29 18:51:48 +0300,2015-03-29 22:01:52 +0300,,1
169,1,8,,4,,task8_1427655108_5,cloud,2015-03-29 18:51:48 +0300,2015-03-29 22:02:36 +0300,,1
193,1,12,,4,,task12_1427658853_1,simple,2015-03-29 19:54:13 +0300,2015-03-29 22:59:39 +0300,,1
213,1,12,,4,,task12_1427658856_9,cloud,2015-03-29 19:54:16 +0300,2015-03-29 23:13:28 +0300,,1
221,1,2,,2,,task2_1428941346_1,cloud,2015-04-13 16:09:06 +0300,2015-04-13 19:09:23 +0300,,1
222,1,2,,2,,task2_1428941346_2,cloud,2015-04-13 16:09:06 +0300,2015-04-13 19:09:25 +0300,,1
