id,date,dayhour,price,region_id,created_at,updated_at
1,2014-01-01,1,60.9,1,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
2,2014-01-01,1,60.9,2,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
3,2014-01-01,2,60.84,1,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
4,2014-01-01,2,60.84,2,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
5,2014-01-01,3,55.01,1,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
6,2014-01-01,3,55.01,2,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
7,2014-01-01,4,39.62,1,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
8,2014-01-01,4,39.62,2,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
9,2014-01-01,5,29.0,1,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
10,2014-01-01,5,29.0,2,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
11,2014-01-01,6,37.0,1,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
12,2014-01-01,6,37.0,2,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
13,2014-01-01,7,39.5,1,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
14,2014-01-01,7,39.5,2,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
15,2014-01-01,8,55.0,1,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
16,2014-01-01,8,55.0,2,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
17,2014-01-01,9,37.59,1,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
18,2014-01-01,9,37.59,2,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
19,2014-01-01,10,36.63,1,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
20,2014-01-01,10,36.63,2,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
21,2014-01-01,11,36.63,1,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
22,2014-01-01,11,36.63,2,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
23,2014-01-01,12,37.02,1,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
24,2014-01-01,12,37.02,2,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
25,2014-01-01,13,36.63,1,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
26,2014-01-01,13,36.63,2,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
27,2014-01-01,14,35.48,1,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
28,2014-01-01,14,35.48,2,2015-03-27 02:00:00 UTC,2015-03-27 02:00:00 UTC
