id,date,dayhour,purchased_revoked,purchased_not_revoked,sold_revoked,sold_not_revoked,region_id,created_at,updated_at
1,2014-01-01,1,19.667,0.333,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
2,2014-01-01,2,20.0,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
3,2014-01-01,3,0.0,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
4,2014-01-01,4,0.0,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
5,2014-01-01,5,0.0,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
6,2014-01-01,6,0.0,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
7,2014-01-01,7,20.0,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
8,2014-01-01,8,20.0,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
9,2014-01-01,9,16.659,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
10,2014-01-01,10,0.0,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
11,2014-01-01,11,0.0,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
12,2014-01-01,12,0.0,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
13,2014-01-01,13,0.0,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
14,2014-01-01,14,0.0,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
15,2014-01-01,15,18.153,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
16,2014-01-01,16,0.0,52.37,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
17,2014-01-01,17,0.0,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
18,2014-01-01,18,5.273,0.0,0.0,55.716,2,2015-03-27 00:00:00,2015-03-27 00:00:00
19,2014-01-01,19,0.0,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
20,2014-01-01,20,0.0,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
21,2014-01-01,21,0.0,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
22,2014-01-01,22,17.74,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
23,2014-01-01,23,20.0,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
24,2014-01-01,24,0.0,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
25,2014-01-02,1,0.0,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
26,2014-01-02,2,0.0,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
27,2014-01-02,3,0.0,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
28,2014-01-02,4,0.0,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
29,2014-01-02,5,0.0,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
30,2014-01-02,6,0.0,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
31,2014-01-02,7,0.0,0.0,0.0,0.0,2,2015-03-27 00:00:00,2015-03-27 00:00:00
