id,date,dayhour,purchased_volumes,sold_volumes,min_purchasing_price,average_purchasing_price,max_selling_price,average_selling_price,region_id,created_at,updated_at
1,2014-01-01,1,0.0,205.0,0.0,0.0,145.65,142.20902439,2,2015-03-27 00:00:00,2015-03-27 00:00:00
2,2014-01-01,2,0.0,205.0,0.0,0.0,145.65,142.20902439,2,2015-03-27 00:00:00,2015-03-27 00:00:00
3,2014-01-01,3,0.0,185.0,0.0,0.0,145.65,145.65,2,2015-03-27 00:00:00,2015-03-27 00:00:00
4,2014-01-01,4,0.0,185.0,0.0,0.0,145.65,145.65,2,2015-03-27 00:00:00,2015-03-27 00:00:00
5,2014-01-01,5,0.0,185.0,0.0,0.0,145.65,145.65,2,2015-03-27 00:00:00,2015-03-27 00:00:00
6,2014-01-01,6,0.0,185.0,0.0,0.0,145.65,145.65,2,2015-03-27 00:00:00,2015-03-27 00:00:00
7,2014-01-01,7,0.0,205.0,0.0,0.0,145.65,142.20902439,2,2015-03-27 00:00:00,2015-03-27 00:00:00
8,2014-01-01,8,0.0,205.0,0.0,0.0,145.65,142.20902439,2,2015-03-27 00:00:00,2015-03-27 00:00:00
9,2014-01-01,9,0.0,205.0,0.0,0.0,145.65,142.20902439,2,2015-03-27 00:00:00,2015-03-27 00:00:00
10,2014-01-01,10,0.0,185.0,0.0,0.0,145.65,145.65,2,2015-03-27 00:00:00,2015-03-27 00:00:00
11,2014-01-01,11,0.0,185.0,0.0,0.0,145.65,145.65,2,2015-03-27 00:00:00,2015-03-27 00:00:00
12,2014-01-01,12,0.0,185.0,0.0,0.0,145.65,145.65,2,2015-03-27 00:00:00,2015-03-27 00:00:00
13,2014-01-01,13,0.0,185.0,0.0,0.0,145.65,145.65,2,2015-03-27 00:00:00,2015-03-27 00:00:00
14,2014-01-01,14,0.0,185.0,0.0,0.0,145.65,145.65,2,2015-03-27 00:00:00,2015-03-27 00:00:00
15,2014-01-01,15,0.0,205.0,0.0,0.0,145.65,142.20902439,2,2015-03-27 00:00:00,2015-03-27 00:00:00
16,2014-01-01,16,0.0,185.0,0.0,0.0,145.65,145.65,2,2015-03-27 00:00:00,2015-03-27 00:00:00
17,2014-01-01,17,0.0,185.0,0.0,0.0,145.65,145.65,2,2015-03-27 00:00:00,2015-03-27 00:00:00
18,2014-01-01,18,0.0,196.696,0.0,0.0,145.65,143.552764062,2,2015-03-27 00:00:00,2015-03-27 00:00:00
19,2014-01-01,19,0.0,185.0,0.0,0.0,145.65,145.65,2,2015-03-27 00:00:00,2015-03-27 00:00:00
20,2014-01-01,20,0.0,185.0,0.0,0.0,145.65,145.65,2,2015-03-27 00:00:00,2015-03-27 00:00:00
21,2014-01-01,21,0.0,185.0,0.0,0.0,145.65,145.65,2,2015-03-27 00:00:00,2015-03-27 00:00:00
22,2014-01-01,22,0.0,205.0,0.0,0.0,145.65,142.20902439,2,2015-03-27 00:00:00,2015-03-27 00:00:00
23,2014-01-01,23,0.0,205.0,0.0,0.0,145.65,142.20902439,2,2015-03-27 00:00:00,2015-03-27 00:00:00
24,2014-01-01,24,0.0,185.0,0.0,0.0,145.65,145.65,2,2015-03-27 00:00:00,2015-03-27 00:00:00
25,2014-01-01,1,0.0,0.0,0.0,0.0,0.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
26,2014-01-01,2,0.0,0.0,0.0,0.0,0.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
27,2014-01-01,3,0.0,0.0,0.0,0.0,0.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
28,2014-01-01,4,0.0,0.0,0.0,0.0,0.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
29,2014-01-01,5,0.0,0.0,0.0,0.0,0.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
30,2014-01-01,6,0.0,0.0,0.0,0.0,0.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
31,2014-01-01,7,0.0,0.0,0.0,0.0,0.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
32,2014-01-01,8,0.0,0.0,0.0,0.0,0.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
33,2014-01-01,9,0.0,0.0,0.0,0.0,0.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
34,2014-01-01,10,0.0,0.0,0.0,0.0,0.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
35,2014-01-01,11,0.0,0.0,0.0,0.0,0.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
36,2014-01-01,12,0.0,0.0,0.0,0.0,0.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
37,2014-01-01,13,0.0,0.0,0.0,0.0,0.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
38,2014-01-01,14,0.0,0.0,0.0,0.0,0.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
39,2014-01-01,15,0.0,0.0,0.0,0.0,0.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
40,2014-01-01,16,0.0,0.0,0.0,0.0,0.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
41,2014-01-01,17,0.0,0.0,0.0,0.0,0.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
42,2014-01-01,18,0.0,0.0,0.0,0.0,0.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
43,2014-01-01,19,0.0,0.0,0.0,0.0,0.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
44,2014-01-01,20,0.0,0.0,0.0,0.0,0.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
45,2014-01-01,21,0.0,0.0,0.0,0.0,0.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
46,2014-01-01,22,0.0,0.0,0.0,0.0,0.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
47,2014-01-01,23,0.0,0.0,0.0,0.0,0.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
48,2014-01-01,24,0.0,0.0,0.0,0.0,0.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
49,2014-01-02,1,0.0,185.0,0.0,0.0,145.65,145.65,2,2015-03-27 00:00:00,2015-03-27 00:00:00
50,2014-01-02,2,0.0,185.0,0.0,0.0,145.65,145.65,2,2015-03-27 00:00:00,2015-03-27 00:00:00
51,2014-01-02,3,0.0,185.0,0.0,0.0,145.65,145.65,2,2015-03-27 00:00:00,2015-03-27 00:00:00
52,2014-01-02,4,0.0,185.0,0.0,0.0,145.65,145.65,2,2015-03-27 00:00:00,2015-03-27 00:00:00
53,2014-01-02,5,0.0,185.0,0.0,0.0,145.65,145.65,2,2015-03-27 00:00:00,2015-03-27 00:00:00
54,2014-01-02,6,0.0,185.0,0.0,0.0,145.65,145.65,2,2015-03-27 00:00:00,2015-03-27 00:00:00
55,2014-01-02,7,0.0,185.0,0.0,0.0,145.65,145.65,2,2015-03-27 00:00:00,2015-03-27 00:00:00
56,2014-01-02,8,0.0,185.0,0.0,0.0,145.65,145.65,2,2015-03-27 00:00:00,2015-03-27 00:00:00
57,2014-01-02,9,0.0,185.0,0.0,0.0,145.65,145.65,2,2015-03-27 00:00:00,2015-03-27 00:00:00
58,2014-01-02,10,0.0,185.0,0.0,0.0,145.65,145.65,2,2015-03-27 00:00:00,2015-03-27 00:00:00
