id,prosumer_id,volume,timestamp,demand_response_id,created_at,updated_at
514,29,173.12,2016-04-18 15:30:00 +0300,28,2016-06-21 15:30:39 +0300,2016-06-21 15:30:39 +0300
515,29,45.24,2016-04-18 15:45:00 +0300,28,2016-06-21 15:30:39 +0300,2016-06-21 15:30:39 +0300
516,29,47.4,2016-04-18 16:00:00 +0300,28,2016-06-21 15:30:39 +0300,2016-06-21 15:30:39 +0300
517,29,35.88,2016-04-18 16:15:00 +0300,28,2016-06-21 15:30:39 +0300,2016-06-21 15:30:39 +0300
518,29,38.44,2016-04-18 16:30:00 +0300,28,2016-06-21 15:30:39 +0300,2016-06-21 15:30:39 +0300
519,29,42.24,2016-04-18 16:45:00 +0300,28,2016-06-21 15:30:39 +0300,2016-06-21 15:30:39 +0300
520,29,75.16,2016-04-18 17:00:00 +0300,28,2016-06-21 15:30:39 +0300,2016-06-21 15:30:39 +0300
521,29,39.0,2016-04-18 17:15:00 +0300,28,2016-06-21 15:30:39 +0300,2016-06-21 15:30:39 +0300
522,29,50.28,2016-04-18 17:30:00 +0300,28,2016-06-21 15:30:39 +0300,2016-06-21 15:30:39 +0300
523,29,73.04,2016-04-18 17:45:00 +0300,28,2016-06-21 15:30:39 +0300,2016-06-21 15:30:39 +0300
507,29,142.48,2016-04-21 13:15:00 +0300,52,2016-04-21 14:07:59 +0300,2016-07-25 16:35:01 +0300
508,26,-3277.2,2016-04-21 13:30:00 +0300,52,2016-04-21 14:07:59 +0300,2016-07-25 16:35:01 +0300
509,29,38.88,2016-04-21 13:30:00 +0300,52,2016-04-21 14:07:59 +0300,2016-07-25 16:35:01 +0300
510,30,119.24,2016-04-21 13:30:00 +0300,52,2016-04-21 14:07:59 +0300,2016-07-25 16:35:01 +0300
511,26,51.72,2016-04-21 13:45:00 +0300,52,2016-04-21 14:07:59 +0300,2016-07-25 16:35:01 +0300
512,29,10.56,2016-04-21 13:45:00 +0300,52,2016-04-21 14:07:59 +0300,2016-07-25 16:35:01 +0300
513,30,14.92,2016-04-21 13:45:00 +0300,52,2016-04-21 14:07:59 +0300,2016-07-25 16:35:01 +0300
544,27,0.12,2016-04-21 14:00:00 +0300,52,2016-07-25 16:35:01 +0300,2016-07-25 16:35:01 +0300
545,26,56.08,2016-04-21 14:00:00 +0300,52,2016-07-25 16:35:02 +0300,2016-07-25 16:35:02 +0300
546,29,8.28,2016-04-21 14:00:00 +0300,52,2016-07-25 16:35:02 +0300,2016-07-25 16:35:02 +0300
547,30,11.56,2016-04-21 14:00:00 +0300,52,2016-07-25 16:35:02 +0300,2016-07-25 16:35:02 +0300
548,26,45.32,2016-04-21 14:15:00 +0300,52,2016-07-25 16:35:02 +0300,2016-07-25 16:35:02 +0300
549,29,114.32,2016-04-21 14:15:00 +0300,52,2016-07-25 16:35:02 +0300,2016-07-25 16:35:02 +0300
550,30,150.88,2016-04-21 14:15:00 +0300,52,2016-07-25 16:35:02 +0300,2016-07-25 16:35:02 +0300
551,26,8.56,2016-04-21 14:30:00 +0300,52,2016-07-25 16:35:02 +0300,2016-07-25 16:35:02 +0300
552,29,187.04,2016-04-21 14:30:00 +0300,52,2016-07-25 16:35:02 +0300,2016-07-25 16:35:02 +0300
553,30,87.76,2016-04-21 14:30:00 +0300,52,2016-07-25 16:35:02 +0300,2016-07-25 16:35:02 +0300
554,27,0.08,2016-04-21 14:45:00 +0300,52,2016-07-25 16:35:02 +0300,2016-07-25 16:35:02 +0300
555,26,72.92,2016-04-21 14:45:00 +0300,52,2016-07-25 16:35:02 +0300,2016-07-25 16:35:02 +0300
556,29,106.64,2016-04-21 14:45:00 +0300,52,2016-07-25 16:35:02 +0300,2016-07-25 16:35:02 +0300
557,30,69.56,2016-04-21 14:45:00 +0300,52,2016-07-25 16:35:02 +0300,2016-07-25 16:35:02 +0300
