id,date,dayhour,purchases,sales,region_id,created_at,updated_at
1,2014-01-01,1,0.0,111.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
2,2014-01-01,1,1047.685,1016.586,2,2015-03-27 00:00:00,2015-03-27 00:00:00
3,2014-01-01,2,0.0,64.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
4,2014-01-01,2,1011.351,1019.132,2,2015-03-27 00:00:00,2015-03-27 00:00:00
5,2014-01-01,3,0.0,5.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
6,2014-01-01,3,976.951,1021.416,2,2015-03-27 00:00:00,2015-03-27 00:00:00
7,2014-01-01,4,105.0,5.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
8,2014-01-01,4,950.429,1022.545,2,2015-03-27 00:00:00,2015-03-27 00:00:00
9,2014-01-01,5,200.0,5.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
10,2014-01-01,5,935.209,1023.548,2,2015-03-27 00:00:00,2015-03-27 00:00:00
11,2014-01-01,6,152.396,5.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
12,2014-01-01,6,965.755,1023.987,2,2015-03-27 00:00:00,2015-03-27 00:00:00
13,2014-01-01,7,20.0,5.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
14,2014-01-01,7,998.971,1024.904,2,2015-03-27 00:00:00,2015-03-27 00:00:00
15,2014-01-01,8,0.0,39.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
16,2014-01-01,8,992.88,1029.003,2,2015-03-27 00:00:00,2015-03-27 00:00:00
17,2014-01-01,9,180.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
18,2014-01-01,9,1021.975,1064.511,2,2015-03-27 00:00:00,2015-03-27 00:00:00
19,2014-01-01,10,180.0,5.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
20,2014-01-01,10,1069.506,1145.509,2,2015-03-27 00:00:00,2015-03-27 00:00:00
21,2014-01-01,11,200.0,5.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
22,2014-01-01,11,1069.456,1216.766,2,2015-03-27 00:00:00,2015-03-27 00:00:00
23,2014-01-01,12,200.0,5.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
24,2014-01-01,12,1107.476,1271.403,2,2015-03-27 00:00:00,2015-03-27 00:00:00
25,2014-01-01,13,200.0,5.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
26,2014-01-01,13,1095.28,1289.893,2,2015-03-27 00:00:00,2015-03-27 00:00:00
27,2014-01-01,14,200.0,5.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
28,2014-01-01,14,1027.671,1268.693,2,2015-03-27 00:00:00,2015-03-27 00:00:00
29,2014-01-01,15,200.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
30,2014-01-01,15,992.674,1227.16,2,2015-03-27 00:00:00,2015-03-27 00:00:00
31,2014-01-01,16,55.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
32,2014-01-01,16,974.341,1169.022,2,2015-03-27 00:00:00,2015-03-27 00:00:00
33,2014-01-01,17,60.0,0.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
34,2014-01-01,17,1034.081,1111.168,2,2015-03-27 00:00:00,2015-03-27 00:00:00
35,2014-01-01,18,20.0,45.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
36,2014-01-01,18,1143.358,1119.949,2,2015-03-27 00:00:00,2015-03-27 00:00:00
37,2014-01-01,19,0.0,80.0,1,2015-03-27 00:00:00,2015-03-27 00:00:00
38,2014-01-01,19,1144.852,1211.243,2,2015-03-27 00:00:00,2015-03-27 00:00:00
