id,name,created_at,updated_at
1,solar,2015-04-01 14:06:55 +0300,2015-04-01 17:06:55 +0300
2,wind,2015-04-01 14:06:55 +0300,2015-04-01 17:06:55 +0300
3,hydro,2015-04-01 14:06:55 +0300,2015-04-01 17:06:55 +0300
4,geothermal,2015-04-01 14:06:55 +0300,2015-04-01 17:06:55 +0300
5,biomass,2015-04-01 14:06:55 +0300,2015-04-01 17:06:55 +0300
