id,interval_id,created_at,updated_at,plan_id,feeder_id,issuer,prosumer_category_id,event_type
86,1,2017-02-24 10:00:25 UTC,2017-02-24 10:00:25 UTC,,,DSO,1,4
87,1,2017-02-24 10:32:18 UTC,2017-02-24 10:32:18 UTC,,,DSO,1,4
88,1,2017-02-28 09:24:41 UTC,2017-02-28 09:24:53 UTC,333,4,DSO,4,2
89,1,2017-02-28 11:23:14 UTC,2017-02-28 11:23:14 UTC,,,DSO,1,4
90,1,2017-02-28 12:32:50 UTC,2017-02-28 12:33:00 UTC,334,,DSO,1,4
92,1,2017-02-28 12:59:58 UTC,2017-02-28 12:59:59 UTC,336,,DSO,1,4
93,1,2017-02-28 13:01:38 UTC,2017-02-28 13:01:40 UTC,337,,DSO,1,4
94,1,2017-02-28 14:44:49 UTC,2017-02-28 14:44:51 UTC,338,,DSO,1,4
95,1,2017-02-28 14:47:42 UTC,2017-02-28 14:47:44 UTC,339,,DSO,1,4
96,1,2017-02-28 16:18:22 UTC,2017-02-28 16:18:23 UTC,340,,DSO,1,4
97,1,2017-02-28 16:44:55 UTC,2017-02-28 16:44:57 UTC,341,,DSO,1,4
98,1,2017-02-28 17:51:54 UTC,2017-02-28 17:51:56 UTC,342,,DSO,1,4
99,1,2017-03-01 09:26:47 UTC,2017-03-01 09:26:49 UTC,343,,DSO,1,4
100,1,2017-03-01 10:11:47 UTC,2017-03-01 10:11:49 UTC,344,,DSO,1,4
101,1,2017-03-01 10:53:22 UTC,2017-03-01 10:53:24 UTC,345,,DSO,1,4
102,1,2017-03-01 11:36:11 UTC,2017-03-01 11:36:11 UTC,346,,DSO,1,4
103,1,2017-03-01 12:23:06 UTC,2017-03-01 12:23:07 UTC,347,,DSO,1,4
104,1,2017-03-01 13:16:24 UTC,2017-03-01 13:16:26 UTC,348,,DSO,1,4
105,1,2017-03-01 13:23:15 UTC,2017-03-01 13:23:17 UTC,349,,DSO,1,4
106,1,2017-03-01 13:42:36 UTC,2017-03-01 13:42:37 UTC,350,,DSO,1,4
107,1,2017-03-01 14:12:54 UTC,2017-03-01 14:12:55 UTC,351,,DSO,1,3
108,1,2017-03-01 14:16:17 UTC,2017-03-01 14:16:18 UTC,352,,DSO,1,3
109,1,2017-03-01 14:24:15 UTC,2017-03-01 14:24:17 UTC,353,,DSO,1,3
110,1,2017-03-01 14:26:56 UTC,2017-03-01 14:26:58 UTC,354,,DSO,1,3
