id,date,dayhour,purchases,sales,region_id,interval_id,created_at,updated_at
1,2014-01-01,1,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
2,2014-01-01,1,24.0,0.021,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
3,2014-01-01,2,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
4,2014-01-01,2,24.0,0.011,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
5,2014-01-01,3,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
6,2014-01-01,3,24.05,0.0,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
7,2014-01-01,4,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
8,2014-01-01,4,16.09,0.768,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
9,2014-01-01,5,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
10,2014-01-01,5,24.1,0.035,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
11,2014-01-01,6,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
12,2014-01-01,6,24.13,25.499,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
13,2014-01-01,7,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
14,2014-01-01,7,24.14,25.5,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
15,2014-01-01,8,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
16,2014-01-01,8,24.08,21.001,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
17,2014-01-01,9,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
18,2014-01-01,9,24.01,21.002,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
19,2014-01-01,10,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
20,2014-01-01,10,24.0,21.012,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
21,2014-01-01,11,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
22,2014-01-01,11,24.0,0.123,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
23,2014-01-01,12,4.412,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
24,2014-01-01,12,24.033,21.102,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
25,2014-01-01,13,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
26,2014-01-01,13,24.07,21.002,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
27,2014-01-01,14,5.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
28,2014-01-01,14,24.278,28.502,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
29,2014-01-01,15,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
30,2014-01-01,15,24.999,6.504,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
31,2014-01-01,16,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
32,2014-01-01,16,24.599,0.004,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
33,2014-01-01,17,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
34,2014-01-01,17,24.331,21.003,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
35,2014-01-01,18,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
36,2014-01-01,18,24.396,4.254,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
37,2014-01-01,19,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
38,2014-01-01,19,143.02,6.502,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
39,2014-01-01,20,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
40,2014-01-01,20,129.336,22.502,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
41,2014-01-01,21,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
42,2014-01-01,21,70.764,6.503,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
43,2014-01-01,22,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
44,2014-01-01,22,29.618,6.502,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
45,2014-01-01,23,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
46,2014-01-01,23,25.269,0.003,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
47,2014-01-01,24,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
48,2014-01-01,24,24.539,0.002,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
49,2014-01-02,1,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
50,2014-01-02,1,16.201,0.33,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
51,2014-01-02,2,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
52,2014-01-02,2,15.0,0.56,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
53,2014-01-02,3,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
54,2014-01-02,3,15.023,0.47,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
55,2014-01-02,4,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
56,2014-01-02,4,15.939,0.0,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
57,2014-01-02,5,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
58,2014-01-02,5,15.464,0.0,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
59,2014-01-02,6,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
60,2014-01-02,6,15.73,0.0,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
61,2014-01-02,7,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
62,2014-01-02,7,16.451,0.0,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
63,2014-01-02,8,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
64,2014-01-02,8,15.702,0.0,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
65,2014-01-02,9,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
66,2014-01-02,9,87.639,0.0,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
67,2014-01-02,10,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
68,2014-01-02,10,80.64,0.0,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
69,2014-01-02,11,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
70,2014-01-02,11,15.39,0.0,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
71,2014-01-02,12,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
72,2014-01-02,12,15.709,0.0,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
73,2014-01-02,13,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
74,2014-01-02,13,20.641,0.2,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
75,2014-01-02,14,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
76,2014-01-02,14,21.153,0.0,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
77,2014-01-02,15,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
78,2014-01-02,15,22.675,0.0,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
79,2014-01-02,16,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
80,2014-01-02,16,23.15,0.0,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
81,2014-01-02,17,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
82,2014-01-02,17,29.377,0.0,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
83,2014-01-02,18,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
84,2014-01-02,18,88.827,0.0,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
85,2014-01-02,19,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
86,2014-01-02,19,289.042,0.0,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
87,2014-01-02,20,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
88,2014-01-02,20,92.11,1.29,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
89,2014-01-02,21,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
90,2014-01-02,21,100.568,0.94,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
91,2014-01-02,22,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
92,2014-01-02,22,15.081,0.79,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
93,2014-01-02,23,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
94,2014-01-02,23,20.638,1.42,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
95,2014-01-02,24,0.0,0.0,1,1,2015-03-27 00:00:00,2015-03-27 00:00:00
96,2014-01-02,24,20.816,0.0,2,1,2015-03-27 00:00:00,2015-03-27 00:00:00
