id,date,certificate_type,reference_year,traded_volumes,price_reference,price_minimum,price_maximum,created_at,updated_at
1,2014-01-08 00:00:00,CV,Tipo CV (I Trimestre 2013),31130.0,88.3533707035,87.5,88.6,2015-03-27 00:00:00,2015-03-27 00:00:00
2,2014-01-08 00:00:00,CV,Tipo CV (IV Trimestre 2013),67147.0,86.3504698646,85.0,87.0,2015-03-27 00:00:00,2015-03-27 00:00:00
3,2014-01-08 00:00:00,CV,Tipo CV (II Trimestre 2013),45534.0,87.5242293671,87.45,87.72,2015-03-27 00:00:00,2015-03-27 00:00:00
4,2014-01-08 00:00:00,CV,Tipo CV (III Trimestre 2013),35651.0,87.4329987939,85.0,87.55,2015-03-27 00:00:00,2015-03-27 00:00:00
5,2014-01-08 00:00:00,CV,Tipo CV (2012),26734.0,84.6599884043,84.4,85.1,2015-03-27 00:00:00,2015-03-27 00:00:00
6,2014-01-08 00:00:00,CV,2011,0.0,0.0,0.0,0.0,2015-03-27 00:00:00,2015-03-27 00:00:00
7,2014-01-08 00:00:00,CV,2010,0.0,0.0,0.0,0.0,2015-03-27 00:00:00,2015-03-27 00:00:00
8,2014-01-08 00:00:00,CV,2009,0.0,0.0,0.0,0.0,2015-03-27 00:00:00,2015-03-27 00:00:00
9,2014-01-08 00:00:00,TRL,2010,0.0,0.0,0.0,0.0,2015-03-27 00:00:00,2015-03-27 00:00:00
10,2014-01-08 00:00:00,TRL,2009,0.0,0.0,0.0,0.0,2015-03-27 00:00:00,2015-03-27 00:00:00
11,2014-01-08 00:00:00,CV,2008,0.0,0.0,0.0,0.0,2015-03-27 00:00:00,2015-03-27 00:00:00
12,2014-01-08 00:00:00,TRL,2008,0.0,0.0,0.0,0.0,2015-03-27 00:00:00,2015-03-27 00:00:00
13,2014-01-08 00:00:00,TRL,2007,0.0,0.0,0.0,0.0,2015-03-27 00:00:00,2015-03-27 00:00:00
14,2014-01-08 00:00:00,CV,2007,0.0,0.0,0.0,0.0,2015-03-27 00:00:00,2015-03-27 00:00:00
15,2014-01-08 00:00:00,GSE,2008,0.0,0.0,0.0,0.0,2015-03-27 00:00:00,2015-03-27 00:00:00
16,2014-01-08 00:00:00,CV,2006,0.0,0.0,0.0,0.0,2015-03-27 00:00:00,2015-03-27 00:00:00
