id,date,cert_type,price_reference,price_cumulative_average,price_minimum,price_maximum,tee_traded,created_at,updated_at
1,2014-01-14 00:00:00,I,105.973658331,105.973658331,105.7,106.0,39108.0,2015-03-27 00:00:00,2015-03-27 00:00:00
2,2014-01-14 00:00:00,II,105.986154895,105.986154895,105.85,106.05,55741.0,2015-03-27 00:00:00,2015-03-27 00:00:00
3,2014-01-14 00:00:00,II-CAR,105.990362976,105.990362976,105.97,106.0,1102.0,2015-03-27 00:00:00,2015-03-27 00:00:00
4,2014-01-14 00:00:00,III,105.983789619,105.983789619,105.5,106.0,6531.0,2015-03-27 00:00:00,2015-03-27 00:00:00
5,2014-01-14 00:00:00,V,0.0,0.0,0.0,0.0,0.0,2015-03-27 00:00:00,2015-03-27 00:00:00
6,2014-01-21 00:00:00,I,106.499381086,106.108982227,105.83,106.75,13556.0,2015-03-27 00:00:00,2015-03-27 00:00:00
7,2014-01-21 00:00:00,II,106.332208915,106.117822729,105.0,106.8,34234.0,2015-03-27 00:00:00,2015-03-27 00:00:00
8,2014-01-21 00:00:00,II-CAR,106.5,106.233829384,106.5,106.5,1008.0,2015-03-27 00:00:00,2015-03-27 00:00:00
9,2014-01-21 00:00:00,III,106.32987302,106.17383086,105.61,106.75,7954.0,2015-03-27 00:00:00,2015-03-27 00:00:00
10,2014-01-21 00:00:00,V,0.0,0.0,0.0,0.0,0.0,2015-03-27 00:00:00,2015-03-27 00:00:00
11,2014-01-28 00:00:00,I,107.832214631,106.396328497,106.01,108.15,10539.0,2015-03-27 00:00:00,2015-03-27 00:00:00
12,2014-01-28 00:00:00,II,107.938437254,106.533719193,106.01,108.2,26639.0,2015-03-27 00:00:00,2015-03-27 00:00:00
13,2014-01-28 00:00:00,II-CAR,108.0,106.444,108.0,108.0,285.0,2015-03-27 00:00:00,2015-03-27 00:00:00
14,2014-01-28 00:00:00,III,108.262343493,107.371868543,106.0,110.0,19488.0,2015-03-27 00:00:00,2015-03-27 00:00:00
15,2014-01-28 00:00:00,V,0.0,0.0,0.0,0.0,0.0,2015-03-27 00:00:00,2015-03-27 00:00:00
16,2014-02-04 00:00:00,I,111.08107548,106.839948148,107.0,112.5,6611.0,2015-03-27 00:00:00,2015-03-27 00:00:00
17,2014-02-04 00:00:00,II,110.755418485,107.150210025,108.0,112.6,19941.0,2015-03-27 00:00:00,2015-03-27 00:00:00
18,2014-02-04 00:00:00,II-CAR,109.0,106.524617873,109.0,109.0,78.0,2015-03-27 00:00:00,2015-03-27 00:00:00
19,2014-02-04 00:00:00,III,110.568609777,108.563534636,108.0,112.75,20191.0,2015-03-27 00:00:00,2015-03-27 00:00:00
20,2014-02-04 00:00:00,V,0.0,0.0,0.0,0.0,0.0,2015-03-27 00:00:00,2015-03-27 00:00:00
21,2014-02-11 00:00:00,I,115.783209046,107.777916122,114.0,117.5,8180.0,2015-03-27 00:00:00,2015-03-27 00:00:00
22,2014-02-11 00:00:00,II,115.616112759,108.647353881,113.5,118.0,29337.0,2015-03-27 00:00:00,2015-03-27 00:00:00
23,2014-02-11 00:00:00,II-CAR,0.0,106.524617873,0.0,0.0,0.0,2015-03-27 00:00:00,2015-03-27 00:00:00
24,2014-02-11 00:00:00,III,114.419348278,110.288452742,110.5,118.0,22617.0,2015-03-27 00:00:00,2015-03-27 00:00:00
25,2014-02-11 00:00:00,V,0.0,0.0,0.0,0.0,0.0,2015-03-27 00:00:00,2015-03-27 00:00:00
26,2014-02-18 00:00:00,I,129.362406306,116.811817138,118.0,145.0,56140.0,2015-03-27 00:00:00,2015-03-27 00:00:00
27,2014-02-18 00:00:00,II,134.128461402,115.10815071,115.0,142.0,56350.0,2015-03-27 00:00:00,2015-03-27 00:00:00
28,2014-02-18 00:00:00,II-CAR,125.944033791,111.901865497,125.0,127.0,947.0,2015-03-27 00:00:00,2015-03-27 00:00:00
29,2014-02-18 00:00:00,III,134.413653906,113.771587974,122.0,140.0,12956.0,2015-03-27 00:00:00,2015-03-27 00:00:00
30,2014-02-18 00:00:00,V,0.0,0.0,0.0,0.0,0.0,2015-03-27 00:00:00,2015-03-27 00:00:00
31,2014-02-25 00:00:00,I,143.126068128,122.734157895,138.0,144.7,38956.0,2015-03-27 00:00:00,2015-03-27 00:00:00
32,2014-02-25 00:00:00,II,143.451046266,122.370116566,135.0,144.75,76558.0,2015-03-27 00:00:00,2015-03-27 00:00:00
33,2014-02-25 00:00:00,II-CAR,135.58346731,128.142170158,127.5,144.5,7464.0,2015-03-27 00:00:00,2015-03-27 00:00:00
34,2014-02-25 00:00:00,III,143.332388795,118.106801035,138.0,144.6,15422.0,2015-03-27 00:00:00,2015-03-27 00:00:00
35,2014-02-25 00:00:00,V,0.0,0.0,0.0,0.0,0.0,2015-03-27 00:00:00,2015-03-27 00:00:00
36,2014-03-04 00:00:00,I,147.550796025,127.585507346,145.8,149.0,42059.0,2015-03-27 00:00:00,2015-03-27 00:00:00
37,2014-03-04 00:00:00,II,147.330166926,126.303354873,144.02,149.0,55893.0,2015-03-27 00:00:00,2015-03-27 00:00:00
38,2014-03-04 00:00:00,II-CAR,146.854141635,137.541791495,145.0,148.5,10986.0,2015-03-27 00:00:00,2015-03-27 00:00:00
39,2014-03-04 00:00:00,III,146.838724457,123.565341966,140.0,149.0,24664.0,2015-03-27 00:00:00,2015-03-27 00:00:00
40,2014-03-04 00:00:00,V,0.0,0.0,0.0,0.0,0.0,2015-03-27 00:00:00,2015-03-27 00:00:00
41,2014-03-11 00:00:00,I,142.639488432,131.165438294,134.5,146.0,67127.0,2015-03-27 00:00:00,2015-03-27 00:00:00
42,2014-03-11 00:00:00,II,141.576748686,129.105545685,120.0,146.0,79697.0,2015-03-27 00:00:00,2015-03-27 00:00:00
43,2014-03-11 00:00:00,II-CAR,138.2,137.664271678,135.0,143.0,5000.0,2015-03-27 00:00:00,2015-03-27 00:00:00
44,2014-03-11 00:00:00,III,138.699941826,124.9985607,125.0,145.5,13580.0,2015-03-27 00:00:00,2015-03-27 00:00:00
45,2014-03-11 00:00:00,V,139.827586207,139.827586207,135.0,145.0,58.0,2015-03-27 00:00:00,2015-03-27 00:00:00
46,2014-03-18 00:00:00,I,128.654197117,130.847902889,122.1,135.0,40859.0,2015-03-27 00:00:00,2015-03-27 00:00:00
47,2014-03-18 00:00:00,II,128.155837304,129.016544456,121.2,135.9,44918.0,2015-03-27 00:00:00,2015-03-27 00:00:00
48,2014-03-18 00:00:00,II-CAR,124.422448245,133.790741969,122.3,132.1,11110.0,2015-03-27 00:00:00,2015-03-27 00:00:00
49,2014-03-18 00:00:00,III,128.634089091,125.132845477,122.0,134.9,5500.0,2015-03-27 00:00:00,2015-03-27 00:00:00
50,2014-03-18 00:00:00,V,120.0,128.518518519,120.0,120.0,77.0,2015-03-27 00:00:00,2015-03-27 00:00:00
