week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4	Gen 5	Gen 6	Gen 7
0	3.5529994316953446	94.98087256671326	83.77455205059952	94.17276642744847	43.55915182279673	93.70543215444734	73.57195556004193	92.32488007529042
1	-9.75473372281488	85.08542669785705	85.85987252018509	85.56018374511063	68.16831218779645	89.67954912577441	92.80850741703311	84.9388960247863
2	27.21589715086288	95.6311013398394	87.41216622465964	78.65551254622208	-27.667840985436694	96.44092544011221	84.69652290172827	82.06565694916013
3	4.946434710108191	94.69278831315805	90.45465842885127	77.5801912590353	74.97101416499984	86.65117540200242	88.93817740420536	89.91245764800536
4	-13.929995787945884	93.69701975234474	76.34673648774452	80.40005230462816	84.64272572487617	94.65350078682766	71.68719036008048	93.92422396109852
5	-0.6898108063087187	89.78775504077713	68.13215426505246	73.80476839349393	91.81069905758493	93.94068471318096	78.8421137228253	88.23028431406732
6	-14.38115432240901	95.66874758727461	61.610672116078504	86.16613846051152	87.65753991304521	98.1265460539036	60.16239491940919	95.07444029440302
7	2.4761447357708177	71.429045935867	73.9603779757105	17.217783717562785	75.5378263505448	80.79686089585991	64.06478374570295	66.59962413783414
8	-15.229647293147632	90.76290542988026	49.235277961344934	64.10960078830757	88.12719290921697	90.16388837471631	79.2196747061014	87.14128574398178
9	2.5808933138005807	93.10795197153872	74.79415812088254	49.59676259332184	43.42786635965008	-163.30683650398927	78.74270533548948	87.33150678550012
