1	99.63
2	50.8353
3	37.0727
4	27.9387
5	22.0057
6	17.6186
7	16.2188
8	14.3495
9	12.7809
1	99.63
2	50.2397
3	36.7631
4	25.8878
5	22.4781
6	17.5689
7	15.1843
8	14.2917
9	12.772
1	99.63
2	50.8353
3	36.2485
4	25.8088
5	22.4781
6	18.8396
7	15.1693
8	14.322
9	12.7634
1	99.63
2	50.8353
3	36.4664
4	25.8222
5	21.14
6	18.455
7	16.191
8	14.451
9	12.7756
1	99.63
2	50.8353
3	36.7631
4	25.4072
5	21.1329
6	19.3275
7	17.0695
8	14.2917
9	12.7589
1	99.63
2	50.8353
3	36.4664
4	25.854
5	21.14
6	18.8345
7	16.1907
8	14.0442
9	12.7896
1	99.63
2	50.8353
3	36.2485
4	25.705
