week	Spectral 0	Spectral 1	Spectral 2	Spectral 3	Spectral 4	Spectral 5	Spectral 6	Spectral 7
0	25.124948813193033	0.0	12.934914513653572	2.0998513053649424	9.27010737976362	0.0	5.385762487771685	4.348461729150216
1	22.802415962213782	0.0	44.60491988790264	0.596719681649171	9.714764111890762	0.0	10.222319225974944	15.579192360990177
2	1.5861617799890138	0.0	26.04853692756724	1.6364165281886796	6.3810769851460165	0.0	1.5453037556600153	5.163739674919541
3	12.439260885115539	0.0	14.036346828771402	3.438715511659132	0.1596852432208205	0.0	4.036245820661763	3.5253227872814143
4	12.077215716966917	0.0	9.584327925068102	1.7005866148877027	0.6311055379100811	0.0	2.5523672538217372	0.0
5	18.14606318277636	0.0	19.978806274885162	1.7269674229640313	4.505239813370508	0.0	4.3793107298354235	0.0
6	3.2990536453761146	0.0	0.4765608010823225	0.1450488292636338	0.7002055170213706	0.0	0.023422420669360622	0.0
7	16.37386930555861	0.0	17.983923364436713	0.9617810377448888	8.476076878878471	0.0	4.784238063330322	0.7520940704589185
8	17.84053909715882	0.0	31.591743643900156	1.0959841752445818	1.4403343365269887	0.0	2.6255540881945594	0.0
9	3.6041166728049947	0.0	19.522270784422645	1.430953969785925	4.2931619681798106	0.0	0.4276382478365682	0.0
