week	Spectral 0	Spectral 1	Spectral 2	Spectral 3	Spectral 4	Spectral 5	Spectral 6	Spectral 7	Spectral 8
0	0.8682016909724806	0.19146247807213002	1.2356877741384427	131.94181804395419	5.206905200970091	0.31186960293667587	0.29323402651950714	0.22558315569598142	10.697014031506129
1	1.2198588707246993	0.5220122798167339	0.7831043122903019	177.05334914709886	2.9518995935985135	0.13516589078370966	1.1114061740113312	0.1351332875417829	10.400120997197128
2	1.6362814547356441	0.5995544293931196	0.19173624718684112	69.9571145679495	1.9464063785195158	0	0.9086666262193042	0.12276943617978042	7.648125440114356
3	0.8604097399611411	0.4111988472949637	0.3922291581103634	103.76578493571628	1.9870291570956784	0.5309360564721792	0.14903348873017652	0.1708176651244434	6.526481877283086
4	0.7982787328179579	0.2896814548908222	1.1915526164897328	195.29076539813536	1.051560351938912	0.6790799542389849	0.0	0.23834568922408605	8.850287351183745
5	0.605492641438225	0.32755590004930757	0.5910754058154792	277.8834140706599	0.4413009645934416	0.5940315845546809	0	0.1559430931017547	7.733037778032468
6	0.19572781445921172	0.2549787779914613	0.16707340384754077	168.66398056808555	3.4888543400387935	0.5452892582119215	0.0	0.2315016208691001	10.54034139766636
7	0.050188304275821743	0.14211894699785477	0.9552983016525878	133.95356457705213	0.3104404632424025	0.33079550734967	0.8696598093411838	0.01587860916745329	6.785760585001384
8	0	0.05846568616380332	1.5447028632732547	155.8273935714176	0.5083463636966083	0.2827871977430818	0.8665414059935213	0.0	9.639557684308556
9	0	0.14178143454097114	1.059175226560249	133.40813858442687	5.199397532509753	0.46319496624877354	0.6537786024061385	0	7.4756642629950605
