week	Gen 0	Gen 1	Gen 2
0	0.019371806706909238	118.49667461198133	1.4029863722045883
1	0.025126658075085097	176.11461822185882	0.8727979296401899
2	0.5736782649588688	42.21147325015492	12.13188654973861
3	0.01150072961211468	87.863480113304	1.0961849278215725
4	0.10453755734632318	204.03017502791815	0.46086624812957205
5	0.016441370680181797	270.76997456014317	0.05441930318211812
6	0.01721874499963199	181.8659498888673	0.06756284995524793
7	0.15555168394093277	129.48281667790022	0.026781567693669284
8	0.5423158769332014	171.50196114453664	0.03567981551173432
9	0.022349238969710947	121.83450073452222	3.770837008547248
