week	Spectral 0	Spectral 1	Spectral 2	Spectral 3	Spectral 4	Spectral 5	Spectral 6	Spectral 7
0	0.8503920963877709	0.05876870877219578	24.883556291600485	112.5298625690478	4.912473877056385	0.19146247807213002	6.383824266336365	1.1614357174919894
1	0.40419122603606183	0.07886783336928482	22.5173746195253	158.21828889034816	6.583914586713512	0.5220122798167339	3.6561360725195513	2.3312650447360266
2	1.2426327036718607	0.01192048470172264	21.461724816900876	51.19203588937302	3.8316160342983014	0.5995544293931196	2.1262221410046447	2.5449480809549545
3	1.0795130812414264	0.03136578327474583	25.616629908269985	80.9653932919374	3.3324842531465535	0.4111988472949637	2.3478925319313007	1.0094432286913175
4	1.3536297968259463	0.11466601545491356	49.45683454288283	149.79500067714946	4.453013375924932	0.2896814548908222	2.128446952973711	0.7982787328179579
5	1.1165342086454189	0.043466352434429784	31.498066527553902	249.87777224716012	3.87405354299314	0.32755590004930757	0.988910017974483	0.605492641438225
6	1.5807983589584529	0.04205592789388354	45.33180846212653	129.03814736340797	4.0303586603370505	0.2549787779914613	3.613871815992468	0.19572781445921172
7	0.6008043060962294	0.04338478296303708	28.377120277689812	108.61270293557789	3.495371759202273	0.14211894699785477	1.2223539819319242	0.9198481136170056
8	0.48855035252400913	0.045742346622665464	30.075917737966705	129.3714693257325	5.8138010372477815	0.05846568616380332	2.0073068803472154	0.8665414059935213
9	0.9555876893279756	0.07332574625345673	34.19180813726564	102.62774550724805	3.571856479830579	0.14178143454097114	6.185247012816468	0.6537786024061385
