week	Spectral 0	Spectral 1	Spectral 2	Spectral 3
0	0.8682016909724806	0.4846965045916378	142.22731250915706	7.391565300043595
1	1.5202388468059445	1.6334184538280567	187.17715049995525	3.9812427524770193
2	1.9728693786794356	1.5082210556124256	76.40976173477478	3.1198024112311664
3	1.2065593836500237	0.5602323360251416	109.6552875257504	3.371841680363115
4	0.8684038251305608	0.2896814548908222	203.58080288787517	3.6506633810239606
5	0.9665115088328498	0.32755590004930757	285.16029452651946	1.8774895028502279
6	0.5368838196591506	0.2549787779914613	178.26947005819875	5.026414525319506
7	0.2799005087743309	1.011778756339039	140.1896934324884	1.9323324064790768
8	0.3720805682602335	0.925007092157327	164.6457842414868	2.7849228706913607
9	0.3653143951257185	0.7955600369471103	139.85969596897678	7.380560208638045
