week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4	Gen 5
0	91.95811624932345	60.75339098825713	95.51190273305261	96.13315783177919	97.10484273932568	-0.8095109992014347
1	96.72167529698325	81.09924691876641	97.10168354540077	96.76562069433115	95.6645022110139	-14.829478981639443
2	73.53213483974586	0.46921863452860774	92.90977177332259	73.57610048810982	98.17883120187172	24.002705816086795
3	96.77977868149186	81.87746539087856	98.42511043300483	93.86734348336894	96.90378530571346	0.4032471812971704
4	87.16952064811872	91.50670051414457	96.3786007847782	93.87298034258859	97.34438635531615	-17.9107072009733
5	94.7930818658511	97.5168664031164	97.72078616496981	92.65559363421247	97.27737082034405	-3.044371669990877
6	74.15627471374823	90.48676000662935	99.57330522559153	96.39600986151845	98.96929370155154	-19.64623185321803
7	92.2900418694931	88.9953966570399	93.12168618624595	93.16680851595247	94.34102096970663	-5.22848216185481
8	85.39810779195511	40.70960472236398	86.52524569733767	97.1064616243802	96.77211652954236	-20.535801693429637
9	79.33624330044049	65.07648986489473	97.48355107429437	96.69257522800626	97.74563872112856	-4.026254851550743
