week	Gen 0	Gen 1	Gen 2
0	99.80340133185737	7.795567227755471	91.55568877581834
1	99.65507696803513	-5.774340953735777	96.74570129562503
2	92.89042462471123	31.370080901518875	12.457448409563925
3	99.8128239456377	10.59609931383011	90.37287993938816
4	98.41222939980419	-6.900201500893612	95.74989548682841
5	99.74196289554322	1.4449671905247987	99.32465498664217
6	99.43407629212389	-9.385698773848695	99.29602616408718
7	97.12402840175403	2.004272216701892	99.60842257091119
8	92.19965625078108	-11.662737527971	99.66729129002276
9	99.61296461752414	5.616264931692437	74.11149167282605
