1	21.10089358614828
2	20.033175082421803	0.0
3	13.265836239024424	11.2980460002008	0.0
4	20.89540389711383	4.071042744914812	0.0	0.0
5	18.086106634618737	9.040445427602847	4.803609899639859	0.0	0.0
6	40.13143914825527	4.803609899639859	1.881675140742818	1.797498946193134e-13	0.0	0.0
7	37.716917913273974	9.18973136144833	4.965071437141497	4.499207441367843	2.6696041759448272	0.5062973023346211	0.0
8	11.402106646014879	11.288925783799485	3.5235834497046126	1.797498946193134e-13	0.0	0.0	0.0	0.0
9	11.402106646014879	7.336435544972317	3.0195719801186613	1.2081052310945901	0.0	0.0	0.0	0.0	0.0
