week	Spectral 0
0	150.97177600476505
1	194.31205055306089
2	83.01065458029933
3	114.7939209257886
4	208.38955154891505
5	288.3318514382411
6	184.0877471811691
7	143.41370510407694
8	168.7277947725977
9	148.4011306096885
