week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4	Gen 5	Gen 6	Gen 7	Gen 8	Gen 9
0	85.22539908683548	53.75768926534684	58.893276696292595	79.30716848427184	83.59848199374083	-4.8929669312750255	63.10955014323439	93.92728603123574	89.60474799629574	91.11837655697656
1	81.05869675894829	71.49589304662989	62.26306257022729	65.06090376045748	78.50046167088448	-10.749318908173432	88.40714105702129	90.70560664078643	86.52322261698227	93.44300150537104
2	76.67108993589406	30.09063602264167	-28.950592065904274	90.14511112750895	72.48114882329945	21.405732677165464	78.2738505965902	93.92302621426899	81.13497687340305	95.80231048806563
3	94.75996931110292	57.435016010549504	69.29981141528587	91.40657266461207	78.22313215831845	0.896925426303322	85.12922577407883	92.21874284228846	72.93500362882014	83.10011643924351
4	92.8535986344174	42.61390240535702	82.3464093222182	90.39347534044617	63.181407794961096	-19.663186210853095	79.63535860440118	93.79036885943702	94.98333326801132	94.80879705715384
5	92.79240869560607	59.204235822010695	85.55140443688455	68.1573351676818	55.742312085005786	-2.8880866026440604	73.84334292354411	94.11086923481642	93.66724789558798	91.29093481838933
6	97.4698479564729	47.67078143024692	77.61546659957781	89.91845681530131	51.798292234850194	-19.23919757139111	51.938882437307996	99.00108715315177	98.94257407857745	96.73901600058011
7	43.26828792565598	8.94925169794066	24.0532881550455	53.69967867889572	59.140184172998985	8.033702063750182	75.88864486623918	79.42463348129732	-1079.299194176034	79.87172220078726
8	75.97880293045898	52.54110298755212	81.43297834875403	74.52516066724911	22.756720217945894	-18.716173525857673	79.75053927322267	86.24430766555548	71.37771647725994	86.99487880223738
9	90.96985622141067	57.356556362396816	19.26271621402784	87.61478583742432	53.707398016420136	-2.839989888108781	80.99623820079125	-174.3868844116456	88.04815140601204	92.98536611453999
