1	21.1009
2	15.6735
3	8.83157
4	8.73424
5	6.73558
6	5.95866
7	4.77916
8	6.6712
9	7.53677
1	21.1009
2	9.40851
3	8.83157
4	6.13332
5	7.55727
6	7.02373
7	8.04308
8	2.98493
9	7.42241
1	21.1009
2	9.40851
3	10.0581
4	6.90132
5	5.68389
6	7.27221
7	7.36907
8	5.93138
9	4.11532
1	21.1009
2	9.40851
3	8.83157
4	8.73424
5	6.82181
6	8.39595
7	5.71838
8	6.96355
9	8.10424
1	21.1009
2	15.6735
3	8.83157
4	7.90244
5	6.73558
6	5.79387
7	4.3242
8	6.20637
9	6.16947
1	21.1009
2	9.40851
3	8.83157
4	8.73424
5	7.78396
6	6.89474
7	4.37048
8	3.36211
9	6.01864
1	21.1009
2	9.40851
3	10.0581
4	8.73424
