week	Spectral 0	Spectral 1	Spectral 2	Spectral 3	Spectral 4	Spectral 5	Spectral 6	Spectral 7	Spectral 8
0	0.8682016909724806	0.19146247807213002	1.2356877741384427	115.8344635059488	5.161075374581333	0.31186960293667587	0.29323402651950714	0.22558315569598142	9.085118745877018
1	1.2198588707246993	0.5220122798167339	0.7831043122903019	157.18104434713564	2.7766334030727897	0.13516589078370966	1.1114061740113312	0.1351332875417829	8.281050152482429
2	1.6362814547356441	0.5995544293931196	0.19173624718684112	47.762901920806144	1.8982392993283934	0	0.9086666262193042	0.12276943617978042	6.98251857520642
3	0.8604097399611411	0.4111988472949637	0.3922291581103634	89.70563422920952	1.9106548448586729	0.5309360564721792	0.14903348873017652	0.1708176651244434	5.120390924729293
4	0.7982787328179579	0.2896814548908222	1.1915526164897328	189.3221334909565	1.0130783430529569	0.6790799542389849	0.0	0.23834568922408605	6.371444320098931
5	0.605492641438225	0.32755590004930757	0.5910754058154792	267.9778986115973	0.38098994857187307	0.5940315845546809	0	0.1559430931017547	5.004312486483968
6	0.19572781445921172	0.2549787779914613	0.16707340384754077	168.44576869383934	3.468020699705283	0.5452892582119215	0.0	0.2315016208691001	10.315847828827678
7	0.050188304275821743	0.14211894699785477	0.9552983016525878	126.51447167677054	0.24645130122643621	0.33079550734967	0.8696598093411838	0.01587860916745329	4.612886920484648
8	0	0.05846568616380332	1.5447028632732547	141.03659818372182	0.4068865916806086	0.2827871977430818	0.8665414059935213	0.0	7.303706412457387
9	0	0.14178143454097114	1.059175226560249	118.629943112908	5.147284859858477	0.46319496624877354	0.6537786024061385	0	6.460290380372413
