1	20.951
2	50.9094
3	65.7573
4	71.4676
5	75.2141
6	73.8562
7	79.4929
8	72.1391
9	73.9088
1	20.951
2	50.9546
3	66.3018
4	71.3303
5	76.0142
6	74.0085
7	76.2793
8	76.6873
9	75.0706
1	20.951
2	50.9263
3	65.8216
4	71.8471
5	75.3501
6	66.9696
7	74.6417
8	71.7714
9	66.8868
1	20.951
2	51.2168
3	65.8599
4	72.4148
5	76.1666
6	73.758
7	77.8446
8	75.8316
9	69.1017
1	20.951
2	57.9347
3	66.1858
4	72.6922
5	72.9604
6	76.104
7	69.5692
8	74.2382
9	75.1783
1	20.951
2	50.9304
3	64.5836
4	72.1376
5	75.4392
6	74.4109
7	73.9213
8	76.6971
9	70.8479
1	20.951
2	50.8711
3	64.5144
4	72.2066
