week	Gen 0	Gen 1	Gen 2	Gen 3
0	3.428658537973193	0.01519926773958713	116.73932748440949	0.04250233040259462
1	0.9176722083237555	0.04122402649507309	176.06738186968389	0.047738378883741515
2	12.152085765228977	0.299290530392759	42.508345067509225	0.033571267315386386
3	1.1400367949210095	0.02255958582880967	87.87460008567918	0.04492160672501668
4	0.530819973304152	0.10830807860266302	204.9363936995955	0.02484341544317176
5	0.11346924735270908	0.021216766225992147	270.74727602086136	0.05750026371759889
6	0.5202258005708693	0.026984236087053835	181.4010969165475	0.03471226692475499
7	0.28818980308799097	0.02986774659349845	129.37201866946202	0.0949620564397749
8	3.3709803620775896	0.033393542661678925	168.83694250107771	0.05970540277037314
9	2.8866104277253952	0.027507783326180424	122.8191745752758	0.07735221731831111
