week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4	Gen 5
0	6.0210455760840915	16.040310158751424	2.1400304394317455	3.796579644784501	0.8791972199269917	100.43590461298305
1	6.828871198420458	18.00831476026856	2.659468069119292	2.271833454361044	2.095509219457	139.9015451758694
2	6.798343570684999	10.19611017650741	3.5117244452794356	2.257523531347834	1.9933614583608534	39.04938807436048
3	4.867463480537744	7.267235289962855	1.0584787618554845	5.353744537317194	1.84170670317895	80.43585227273479
4	6.898991835198991	9.703352774310503	1.394074372461029	9.153544718860601	2.170612732672634	170.86353683555035
5	6.0623902957583695	4.726372902366137	1.2949216918926654	4.206471392349908	1.2425683863571404	258.1024962854856
6	14.111987502404233	10.62932776461308	1.2852506999289295	7.212966751643254	2.245704306724731	148.0165353261068
7	6.83982091888344	5.475442489010046	1.858801021310505	2.3590666899365935	0.7264414931013548	118.15548956715872
8	8.348287206807072	9.854431571304588	2.548494650391321	4.3815791676637375	0.6699299927163089	126.85726759522538
9	10.10114693583995	13.181933880438834	2.167777101430989	3.633080157666196	1.1110492174114466	105.54798711907932
