week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4	Gen 5	Gen 6
0	4.796375844684277	95.3645051521942	93.08512078547567	64.1523458357986	84.9472724020701	94.95838175403765	79.17260562939788
1	-8.176321032098537	95.62182881769347	94.8120774343974	68.515839523962	88.92450497847358	94.49225945651249	86.45077430801896
2	27.393680692493376	95.82607982136476	90.8394381796701	-5.1708804803645725	91.16643884350786	89.52542613679235	95.07396179182919
3	6.423835366918211	96.10240909922851	93.4318366218397	81.16117837892324	90.2591035950182	94.01573194425589	91.68630042743476
4	-13.140819291910292	89.16283422348742	89.91908334288104	86.93829534475177	91.7235729041909	84.79551865791942	69.59436217316247
5	-0.9660153845359593	93.00275985999508	92.86187396414626	91.46400522274693	82.43223276394247	86.67294477252678	80.85551444590247
6	-16.688598993337546	97.54883046386156	99.59503592272972	86.8537439317072	87.13938503745152	92.04170206040996	83.15310995550315
7	0.513743957717188	86.16764093358582	81.35791973341087	68.75801774496291	60.65391748759789	71.73426214903422	75.53972758072646
8	-15.692299099052173	92.05473875446366	74.77263770149113	81.9006291993325	81.43246257910471	52.7858377653139	58.722657657746446
9	2.905401412123869	96.70291518539509	-1099.3569156708622	67.12023227443296	90.10356660854997	77.549221435667	69.55200832234003
