week	Spectral 0	Spectral 1	Spectral 2	Spectral 3
0	0.8682016909724806	0.43952698299598714	123.0412488971765	6.4483387898614986
1	1.1929943841350878	1.4604640369415556	164.0288972312752	3.3028437321574877
2	1.7974973890952324	1.3539968514169987	51.80321124216448	2.7796911346576785
3	0.7161353857134234	0.5230650012442486	93.20808167637892	2.833069999298143
4	0.7842785466724085	0.2896814548908222	195.2315931636556	2.8729469698044205
5	0.5295142287567072	0.32755590004930757	272.5555362584246	1.3835688618278787
6	0.524012631590338	0.2549787779914613	177.99984422040905	4.80032934925104
7	0.2799005087743309	0.8429713347079821	129.79303198421678	1.2847399662529497
8	0.3720805682602335	0.8633649478045582	147.50619248751718	2.065408026660613
9	0.3653143951257183	0.7859038867948653	123.49348168385245	7.055592913483224
