week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4
0	95.09381343220475	83.87673642847598	97.03692194600607	98.7078488960275	5.83164908065695
1	96.56864550899968	85.1357460413621	99.01845391315798	98.62639100895097	-8.15618112681049
2	81.99234080926888	-4.250734730877576	91.98740063466764	86.97461999204855	28.76719626490688
3	96.69872605736232	81.6659973356583	98.98459811005354	98.02282375202307	9.331182339720028
4	88.41251593177294	89.4211411968609	91.75001288199799	96.64730049162564	-9.102351639392008
5	89.27148966638057	97.05090653172978	94.81734616993943	97.32213341973402	0.7481943182999431
6	93.10690000654948	92.5151009096171	94.151415841876	98.87120770023992	-10.522749131508089
7	77.01522047948475	94.37555171207455	95.43912382934833	93.5724574872262	1.5756793596840353
8	75.57343195812548	97.09093639462833	62.49181922203044	95.72321884161659	-12.457402517014957
9	86.62999241909988	65.71718365551867	96.72334507942605	98.63083109225754	3.799853491002938
