1	99.6300130512094
2	92.64462717026248	8.998773329271174
3	90.45440954874607	9.308699681013877	2.7703016629184134
4	87.90259031903253	12.014843469565506	3.7800445256034294	1.115888276670117
5	87.31510729355944	10.785590504947614	3.1481075635823927	1.754894433022784	0.46543817095063655
6	84.4213297844455	10.458019096701207	3.1995919750061326	2.7701181086811104	1.8240277004299088	1.6619756094471736
7	83.86238748657519	11.616211223906575	3.1306409784254186	2.98496333772297	2.8369283257735525	1.7102189670820174	0.4631159420127795
8	83.02190521322802	8.398647379101178	6.244341639280961	3.1963187043413193	2.8991452330905396	1.8439103862900588	1.4350600483081388	0.5197852653099626
9	81.02371501472737	8.604827545447428	6.370966692006341	4.646116402003077	2.9729516502031856	2.518496987611499	1.9088840382781154	0.6719417010139628	0.18994553747648046
