week	Gen 0	Gen 1	Gen 2
0	2.4739365982540953	113.15078955571681	10.602619502925492
1	4.668763401231487	147.25925560915982	17.45934551693803
2	5.611490295673516	41.583892219157036	12.859103767784816
3	2.881831802480086	87.74905133733091	8.21585679027276
4	3.9389046959207654	188.02213008290403	7.878259060982828
5	2.5693137428348756	269.1357986746701	4.187474207326879
6	6.095694104200955	166.20082738500207	11.20489182259655
7	3.942932683883601	125.3419513817746	4.8209650301097895
8	5.218280666231575	138.5323908885705	7.04093922945615
9	4.307649730033635	115.56837302376687	13.314123526511942
