-2.1074,-2.4625,-1.5244,-2.9526,-2.0836,-2.8014,-2.5157,-2.5361,-2.538,-1.6369,-1.6574,-1.656,-1.5528,-2.2041,-0.32662,-1.0169,-0.23237,-3.5022,-2.4968,-2.7829,-3.1521,-2.1557,-1.6142,-1.7532,-2.3496,-2.5095,-2.5308,-2.6595,-1.3456,-1.4853,-2.7506,-1.2479,-2.3408,-1.9293,-1.9644,-2.2618,-2.467,-2.893,-1.7017,-1.9228
-1.7904,-2.3898,-1.4828,-2.7479,-2.1363,-2.5467,-2.3348,-2.3246,-2.3246,-1.5342,-1.5552,-1.5265,-1.4396,-2.0553,0.0039343,-0.91066,-0.060655,-3.3796,-2.2788,-2.6095,-2.9906,-2.0311,-1.4579,-1.6136,-2.1632,-2.3044,-2.3244,-2.6487,-1.2125,-1.3412,-2.7032,-1.1435,-2.137,-1.7327,-1.7757,-2.1666,-2.5016,-2.7473,-1.8727,-1.799
-1.5379,-2.2038,-1.2758,-2.4711,-2.0345,-2.4518,-2.2163,-2.2835,-2.2387,-1.4739,-1.4991,-1.4279,-1.3167,-1.8554,0.29628,-0.74549,0.20762,-3.0831,-2.0955,-2.4208,-2.843,-1.8612,-1.35,-1.5217,-2.0126,-2.1683,-2.1907,-2.4999,-1.1087,-1.0966,-2.8134,-1.0596,-2.038,-1.5903,-1.6337,-2.0908,-2.2865,-2.6159,-1.4974,-1.6364
-1.4152,-1.962,-0.96171,-2.2448,-1.7319,-2.3098,-2.077,-2.0817,-2.0627,-1.3093,-1.3311,-1.2992,-1.2031,-1.6434,0.49855,-0.52679,0.23553,-3.0524,-1.9029,-2.2162,-2.7117,-1.6875,-1.2538,-1.4357,-1.8498,-2.036,-2.0509,-2.4196,-0.88614,-0.93511,-2.6911,-1.0225,-1.9247,-1.4594,-1.5104,-1.936,-2.0797,-2.3518,-1.3744,-1.601
-1.2323,-1.7284,-0.81801,-1.9737,-1.6133,-2.3407,-1.9152,-1.9011,-1.9211,-1.1338,-1.16,-1.1524,-1.0869,-1.4778,0.77038,-0.44263,0.46947,-2.9437,-1.6489,-2.0396,-2.5782,-1.5253,-1.1668,-1.242,-1.6998,-1.906,-1.9169,-2.2972,-0.61349,-0.98188,-2.396,-1.0134,-1.762,-1.2434,-1.2842,-1.784,-1.9883,-2.1014,-1.0568,-1.5299
-0.8967,-1.7209,-0.55524,-1.6208,-1.3762,-2.3139,-1.7681,-1.8958,-1.8857,-1.0283,-1.0573,-1.0864,-0.95761,-1.2941,1.0158,-0.13891,0.67759,-2.7434,-1.4159,-1.8338,-2.4149,-1.3462,-1.0209,-1.0377,-1.6002,-1.7441,-1.7601,-2.1594,-0.38764,-0.76141,-2.3225,-1.0105,-1.5305,-1.0503,-1.0926,-1.661,-1.7077,-1.8587,-0.95669,-1.4314
-0.74034,-1.5608,-0.36786,-1.3459,-1.141,-2.3896,-1.5777,-1.7746,-1.784,-0.78445,-0.81159,-0.93267,-0.84414,-1.1207,1.163,0.0092567,0.7874,-2.5859,-1.2357,-1.6344,-2.2694,-1.1561,-0.84984,-0.82938,-1.4941,-1.6227,-1.636,-1.9617,-0.23175,-0.62341,-2.2356,-0.93273,-1.3153,-0.84376,-0.88864,-1.5307,-1.5889,-1.6315,-0.737,-1.3132
-0.69217,-1.4337,-0.29665,-1.2459,-1.0653,-2.3803,-1.3541,-1.52,-1.526,-0.52542,-0.55909,-0.68027,-0.7248,-0.95279,1.2533,0.11475,0.82828,-2.3324,-1.0557,-1.4431,-2.1054,-1.007,-0.70072,-0.7063,-1.3394,-1.4759,-1.4876,-1.8348,-0.17439,-0.47774,-1.937,-0.8238,-1.2001,-0.66416,-0.71858,-1.3462,-1.419,-1.401,-0.69158,-0.99924
-0.54597,-1.2017,-0.14472,-1.1027,-0.83915,-1.9194,-1.1113,-1.3555,-1.3361,-0.37153,-0.4142,-0.53417,-0.62861,-0.82241,1.3898,0.32491,1.0122,-2.0138,-0.89549,-1.2723,-1.9041,-0.86134,-0.59689,-0.62257,-1.1693,-1.3221,-1.3252,-1.6744,-0.037512,-0.25272,-1.6821,-0.71949,-1.0633,-0.5368,-0.60273,-1.2606,-1.2016,-1.2135,-0.34689,-0.61388
-0.33676,-1.0646,0.0094306,-0.86832,-0.5517,-1.4607,-0.89778,-1.1845,-1.1567,-0.19415,-0.22913,-0.39375,-0.52837,-0.63759,1.4013,0.54965,1.1656,-1.7156,-0.71793,-1.1271,-1.6671,-0.72972,-0.50568,-0.49583,-0.98033,-1.1604,-1.1629,-1.5095,0.085808,-0.075879,-1.5589,-0.63257,-0.94519,-0.37935,-0.45343,-1.1288,-1.1168,-1.0422,-0.25695,-0.52318
