week	Gen 0	Gen 1	Gen 2
0	99.73314116034575	7.750094680074736	92.05260921318192
1	99.67187594242607	-6.200868710414638	96.61869619570008
2	92.58759191924398	31.363075602628637	12.616671835198062
3	99.7991100700798	10.598435537561866	90.34198098569878
4	98.44173656093994	-6.882796149785873	95.38107386208246
5	99.46383742777503	1.4486613738093341	99.36075957283508
6	99.64826431744032	-9.414436964411099	99.49116425545438
7	97.094957125844	2.005887014988454	99.30866088060937
8	92.30738632088443	-11.637040883643738	99.20965524712221
9	99.80579422472034	5.637985839000769	73.83095269743306
