1	99.6300130512094
2	98.21494076822597	3.455603093685074
3	92.18062493734197	11.814015295023594	5.404627062484536
4	91.5289294281431	5.164870224977843	3.455603093685074	3.2667643017245585
5	90.00911212434085	5.937983106882491	4.065945740506006	3.455603093685074	2.231387094253922
6	89.92070253668697	8.143475241008233	6.035835533717325	3.350748134385647	2.977642281788018	2.5786801186734287
7	89.92070253668697	7.402109771405357	6.1944596732724335	3.350748134385647	3.061637694538497	2.5786801186734287	0.82671945534456
8	90.32762568437852	8.2124110935871	3.455603093685074	3.350748134385647	2.977642281788018	2.231387094253922	0.9718352348711452	0.82671945534456
9	83.49573742783309	8.063854075539265	5.929428253059076	5.007015935110573	3.9547315649934376	3.455603093685074	3.4010425517033447	0.9718352348711452	0.82671945534456
