Week	Adaptive 0	Adaptive 1	Adaptive 2	Adaptive 3	Adaptive 4	Adaptive 5	Adaptive 6
0	92.5269	69.1102	94.4565	94.8639	97.8971	-2.52426
1	95.18	81.7058	96.4641	96.3956	96.258	-15.1609
2	73.305	0.790102	92.9236	71.3851	98.2819	23.9768
3	96.9793	78.5565	98.0161	92.0084	97.7996	0.710352
4	87.331	89.3957	97.2025	91.838	97.3373	-17.5894
5	94.1215	95.9255	96.928	94.0823	97.4875	-2.98126
6	74.7114	91.5241	99.4948	96.8692	98.6715	-19.772
7	89.0311	87.949	94.6056	93.8632	95.006	-4.96716
8	83.3171	39.9425	87.3822	95.6394	96.2961	-20.2576
9	79.2244	65.5662	97.4634	97.0904	96.5711	-4.09243
