1	21.10089358614828
2	18.817012037316417	0.0
3	20.73017973950957	0.0	0.0
4	18.427910478084097	0.0	0.0	0.0
5	17.798846669227856	0.0	0.0	0.0	0.0
6	28.303167107217043	18.373886064404584	2.301024126601402	0.0	0.0	0.0
7	16.892763548734678	10.809134123632377	9.438047942992803	2.0957530055174876	0.0	0.0	0.0
8	14.26369576045174	3.108245489738828	1.640243924664089	1.6039173075616813	0.0	0.0	0.0	0.0
9	13.726554463112048	3.108245489738828	1.6039173075616813	1.3447154186249886	0.0	0.0	0.0	0.0	0.0
