-1.0379,-0.73329,-0.69457,-0.79003,-1.5729,-1.0209,-0.36182,-0.66528,-0.58254,-0.97081,-0.26788,-0.8266,-1.1876,-0.39236,-0.28482,-0.95808,-1.4235,-1.4606,-0.43276,-0.97937,-0.3552
-1.2975,-0.5547,-0.37405,-0.53436,-1.6037,-0.95369,-0.22725,-0.73784,-0.56233,-0.93504,-0.10219,-0.66536,-1.0132,-0.47002,-0.18254,-0.78066,-1.8767,-1.5339,-0.19796,-1.035,-0.31018
-1.2076,-0.37699,-0.69559,-0.38464,-1.5509,-0.86483,-0.24612,-0.69265,-0.59502,-0.87575,0.12063,-0.67432,-0.84387,-0.2989,-0.12067,-0.69278,-2.0308,-1.4464,-0.097853,-0.93548,-0.33016
-1.0236,-0.27241,-0.77664,-0.47937,-1.5679,-0.82392,-0.026246,-0.81275,-0.52613,-0.84676,0.3467,-0.83765,-0.62937,-0.20477,-0.038964,-0.74832,-1.7087,-1.3765,0.0242,-0.9305,-0.45242
-1.0365,-0.41097,-0.50816,-0.42882,-1.4879,-0.81112,-0.087111,-0.73898,-0.49329,-0.75633,0.4673,-0.53285,-0.5401,-0.22874,-0.00048188,-0.53997,-1.6857,-1.3805,0.068525,-0.9079,-0.33895
-0.997,-0.25992,-0.44979,-0.42696,-1.3888,-0.68601,0.10499,-0.65408,-0.41372,-0.6595,0.60061,-0.29577,-0.36399,-0.1683,0.13096,-0.33184,-1.6642,-1.3203,0.045047,-0.89671,-0.22886
-0.89134,-0.019108,-0.61492,-0.17015,-1.3217,-0.54661,0.24733,-0.59355,-0.27811,-0.64678,0.67178,-0.55156,-0.22324,-0.055811,0.12674,-0.50345,-1.5119,-1.3895,0.13,-0.95838,-0.32126
-0.87271,-0.033143,-0.67315,-0.083657,-1.3077,-0.66424,0.26634,-0.39892,-0.24358,-0.6155,0.77925,-0.33063,-0.062913,0.00065365,0.15917,-0.60247,-1.7789,-1.2136,0.20296,-0.98449,-0.35515
-0.78882,-0.12862,-0.49533,-0.12826,-1.462,-0.4691,0.35738,-0.37343,-0.16502,-0.54107,0.85698,-0.2133,0.046806,-0.029718,0.19229,-0.52912,-1.5974,-1.0616,0.26394,-0.88751,-0.2216
-0.62871,0.050738,-0.41915,-0.10136,-1.4117,-0.4024,0.36363,-0.29582,-0.089317,-0.41959,0.85886,-0.14232,0.14959,0.03867,0.13875,-0.59919,-1.2953,-1.1417,0.33059,-0.7021,-0.22403
