week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4
0	0.23691626771977425	2.4242370356640275	0.14613727682346253	0.021931105895426625	117.4430183558649
1	0.40519282712648613	2.442955184727543	0.07757617587160999	0.029821520289539213	174.28192895523978
2	1.0674998777121056	10.713436305679075	0.34040441636055524	0.45274436077726876	42.007597122250765
3	0.25520436184528345	1.2386239155657743	0.030558537534923328	0.03693884424409602	87.67053782437256
4	0.6660478208256398	0.622873436573321	0.20856602204255348	0.0757581578244007	204.2615263192891
5	0.45248409072834256	0.14051523937980995	0.15335595532934967	0.039929579870147	270.5389379008034
6	0.47865109319653926	0.5467961226199199	0.14662031030353062	0.02332394647845483	180.83195892195545
7	1.4071971328570863	0.09074553446807794	0.31992080303890885	0.042948256259174276	128.36603636905585
8	3.4085888820755237	0.10148356646386712	1.0838009664911445	0.03514656150431451	168.19856839758617
9	1.0347715086890263	2.6698519852207148	0.06841693781393977	0.022728373882095247	122.18762047597494
