week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4	Gen 5	Gen 6
0	109.32340437800005	0.03705354398998495	0.03025574891681083	9.10534500596765	0.6672982855471148	0.21252534740643206	1.638754503369149
1	170.54539133212867	0.06346611384461011	0.050107399893720594	5.369154453950131	0.709587930068688	0.3080479129614069	0.6989880428190087
2	41.60391772739191	0.1332098437987287	0.0394827369283131	12.269616402985033	0.32577766736877645	0.4431371663225591	0.10493298858825002
3	87.15332268417708	0.09536154213740611	0.054329633627085996	1.6773351331330195	0.22421905452062493	0.23952312196538283	0.814249447192574
4	201.75196369910492	0.1676442893593028	0.03681145248928185	1.3092293243737447	0.3842188219300814	0.5804468017177188	2.4265924834827386
5	268.2771806594395	0.08819099344467948	0.056428298571669935	0.5048697424151594	0.9204413761048943	0.7028849423707332	1.3798389619352411
6	177.7475794227366	0.02137358372574412	0.0027256195188597727	1.5608223374819445	0.22153299427932127	0.28157823363163514	2.380423864826378
7	127.33655281858611	0.0505069704385014	0.023531930696377337	1.195249479484926	0.8235380170943829	1.772211199499657	0.7770451517207339
8	163.63073330706843	0.05694808278443847	0.017134459922551654	0.775924311856888	1.8975854052192618	2.2665070381441406	4.564140061890878
9	118.22373701513251	0.024171591741770318	1.6814244361439181	3.080682348612308	0.32106819082429544	2.168865987625525	1.8407670965782263
