week	Spectral 0	Spectral 1	Spectral 2	Spectral 3	Spectral 4
0	11.684745408510517	0.0	0.0	29.661749938073896	24.388147281600876
1	31.69397204459516	0.0	0.0	16.96259136906892	7.310823462170656
2	25.6289560084059	0.0	0.0	12.147578602227632	24.362273394213542
3	4.917140743826681	0.0	0.0	20.78512045100165	6.225707218860989
4	4.444942393254757	0.0	0.0	22.35203031873829	3.998288592715142
5	0.17975301539059405	0.0	0.0	9.342863841648603	1.3719391114353237
6	7.654226424380346	0.0	0.0	26.67275572437478	15.829169334644396
7	10.717913303975585	0.0	0.0	23.840098366382893	8.090702122255133
8	9.602346965033902	0.0		13.410157548773768	2.259136180967784
