0.028102,0.0098261,0.043277,0.21591,0.3213,0.069581,-2.0633e-06,1.3921,1.5347,0.98952,0.07602,0.0092947,0.74092,0.52173,0.031316,1.3943
0.030986,0.012624,0.073014,0.13333,1.1542,0.079395,-1.9606e-06,1.5501,1.4831,0.35227,0.078086,0.072843,0.49546,0.29846,0.021849,0.66748
0.051261,0.013157,0.22607,0.053779,1.0129,0.080668,-1.8414e-06,1.5483,1.258,0.69263,0.092588,0.047432,0.293,0.069901,0.042233,0.81084
0.041564,0.012134,0.169,0.13117,0.51741,0.091606,-1.701e-06,1.535,1.2552,0.65449,0.10516,0.079324,0.27693,0.06957,0.024116,0.90542
0.038467,0.013724,0.17856,0.21111,0.74751,0.10689,-1.5325e-06,1.5414,1.2417,1.5812,0.10017,0.071232,0.50397,0.056789,0.062226,1.1614
0.090043,0.0126,0.14699,0.31742,0.35473,0.098281,-1.3468e-06,1.5224,1.3076,2.1733,0.10096,-0.023874,0.29158,0.29459,0.046026,1.266
0.12611,0.0098048,0.30904,0.27432,0.46372,0.091473,-1.1544e-06,1.5119,1.451,2.3355,0.084139,0.0085122,0.78629,0.18415,0.042171,0.47839
0.057147,-0.010908,0.17213,0.15512,0.32636,0.097909,-9.6237e-07,1.5043,1.6326,2.1138,0.090432,-0.011027,1.1547,-0.061358,0.04492,0.74224
0.10665,0.015543,0.091063,0.29569,1.016,0.089844,-7.8135e-07,1.4925,1.5862,2.0363,0.092795,0.13938,0.97111,0.30206,0.0332,0.77469
0.10521,0.014958,0.11712,0.36325,0.51361,0.071011,-6.1536e-07,1.4678,1.5127,1.7506,0.094352,0.11184,1.0971,0.039511,0.04128,0.72702
