1	99.6300130512094
2	98.2473181059325	5.255622262349178
3	98.27351306555659	5.255622262349178	0.055703609100167
4	98.46127410738796	5.255622262349178	0.2592731268871492	0.055703609100167
5	84.47003225856116	24.98322893539583	5.898572614626733	1.1427134679627153	0.2592731268871492
6	83.03462089412454	28.122480733557325	5.255622262349178	0.8191427980307164	0.47182883439589673	0.2592731268871492
7	83.0380459512406	13.144127207893646	10.807961142952522	5.946997072289211	5.676384018716682	1.1523091066899003	0.2592731268871492
8	82.8785383201425	15.539685992854174	13.360201717257013	5.339015184179818	1.1523091066899003	0.9015576166736783	0.5549528384047331	0.2592731268871492
9	82.46330478951714	28.291051025250226	5.255622262349178	1.1814867042999255	1.1523091066899003	0.7897169348574384	0.5549528384047331	0.512212497188925	0.2592731268871492
