Week	Adaptive 0	Adaptive 1	Adaptive 2	Adaptive 3	Adaptive 4	Adaptive 5	Adaptive 6	Adaptive 7
0	112.176	0.0381669	0.0304858	6.43136	0.552969	0.172428	1.67157
1	170.552	0.0769018	0.0446602	5.45667	0.722703	0.397791	0.728681
2	41.6703	0.11264	0.0553205	12.2464	0.351536	0.443641	0.0921216
3	87.325	0.11451	0.0580463	1.69141	0.270555	0.246413	0.61857
4	201.147	0.13552	0.0419882	1.16524	0.442791	0.518444	3.16008
5	268.531	0.0854415	0.0415635	0.487264	0.663852	0.689227	1.64128
6	177.927	0.029382	0.00290004	1.27054	0.439863	0.312606	2.17555
7	127.049	0.0621359	0.0286694	1.05312	0.837707	1.24764	0.974166
8	164.792	0.0529253	0.014573	0.821871	1.06309	2.47073	4.42002
9	118.109	0.0286321	1.67815	3.34802	0.390121	1.87234	1.8584
