week	Spectral 0	Spectral 1	Spectral 2	Spectral 3	Spectral 4	Spectral 5
0	1.2356877741384427	1.1431697292271847	5.873886898962208	0.19146247807213002	31.64564336225152	103.25029446962458
1	0.7831043122903019	2.0281601242060265	3.2098682054704213	0.5220122798167339	16.59094739761477	150.61055265630944
2	0.19173624718684112	2.5876945730711594	2.7391097467963483	0.5995544293931196	18.317047464939378	48.871529811366116
3	0.3922291581103634	0.8225959362893187	2.9515375336375023	0.4111988472949637	26.595246534110615	75.19106840414565
4	1.1915526164897328	0.7760704683723043	2.3628766174767684	0.2896814548908222	55.701897851362645	140.8268770342786
5	0.5910754058154792	0.5399546639534694	1.8759443977174897	0.32755590004930757	33.12471588801361	239.93402496726924
6	0.16707340384754077	0.5467533942641436	5.288565519877366	0.2549787779914613	56.92163683542654	120.39881156789096
7	0.9552983016525878	1.1519724762651213	0.9312435198304705	0.14211894699785477	31.677078341994388	101.65079477343107
8	1.5447028632732547	1.171434317253718	1.4744383662358587	0.05846568616380332	33.75810726402074	118.397352653942
9	1.059175226560249	0.9968069733926002	6.646837214761305	0.14178143454097114	37.33139107915187	93.47380339904402
