id	precision	recall	mse
1	0.8	0.8888888888888888	0.16471422524871307
2	1.0	1.0	0.0
3	0.75	0.75	0.040718189715558975
4	1.0	1.0	0.0
5	1.0	1.0	0.0
6	1.0	1.0	0.0
7	0.9	1.0	0.0013369948268026647
8	0.8571428571428571	0.8571428571428571	0.016058023170670524
