week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4
0	95.17782932401158	84.56196566705322	96.74049856258144	98.47710158487853	5.616846451433283
1	94.83482730964609	86.5797127933367	98.45760967410996	98.62351966028612	-8.20409312898204
2	81.91113962000837	-4.514185054402977	92.14714081021962	86.83989322685866	28.90127013307416
3	95.56229296310754	82.38834970147641	99.00200303335704	98.31288739623258	9.392573224748554
4	90.46226002699011	90.76382223673272	96.0851005073215	96.82618279005274	-9.261172929352277
5	91.8189647515975	97.2101818652483	95.62429913552947	98.00672816035039	0.6307919325360895
6	93.17036412681435	93.35303743875686	95.2977261680951	98.94048113015984	-10.577858677068635
7	80.85642432978192	95.70066201906491	89.02663935943235	93.39070930806267	1.54998621365265
8	67.52424645862423	96.25852528450939	77.99770122084301	96.74560196637209	-12.497034847725713
9	89.47148895990014	61.628341407386436	97.77053758460636	98.21237360275855	3.996992975747724
