1	21.1009
2	18.817
3	18.758
4	18.4279
5	39.3896
6	19.8833
7	61.412
8	24.3019
9	36.4426
1	21.1009
2	18.817
3	18.758
4	18.4279
5	48.4574
6	23.7832
7	41.5685
8	41.7278
9	42.1303
1	21.1009
2	18.817
3	19.2558
4	18.4279
5	17.7988
6	87.6617
7	37.0376
8	42.901
9	42.1303
1	21.1009
2	18.817
3	20.7302
4	51.5103
5	17.7988
6	34.1089
7	61.412
8	50.9405
9	38.8861
1	21.1009
2	18.817
3	18.758
4	18.4279
5	23.9191
6	60.8028
7	34.413
8	59.1447
9	39.5116
1	21.1009
2	18.817
3	18.758
4	18.4279
5	17.7988
6	17.9012
7	61.412
8	62.719
9	42.1303
1	21.1009
2	18.817
3	18.758
4	18.4279
