Week	Adaptive 0	Adaptive 1	Adaptive 2	Adaptive 3	Adaptive 4	Adaptive 5	Adaptive 6	Adaptive 7	Adaptive 8
0	0.730083	94.5601	83.3803	91.6113	63.7679	92.9046	75.0914	94.6198
1	-10.7848	91.286	84.1646	88.9363	75.9738	76.0216	93.0736	83.2874
2	27.2743	96.17	91.4884	74.4197	-26.29	95.6207	84.682	86.3322
3	4.96149	94.2525	76.5937	85.5414	76.1068	91.4126	89.1437	90.1705
4	-13.1659	92.7802	65.4229	79.801	83.3131	93.0405	74.5945	94.6662
5	-0.751007	89.8905	74.9997	69.5284	88.9463	93.1056	79.9438	89.634
6	-15.2212	96.0392	72.8735	87.1156	87.8162	98.8187	62.9018	94.24
7	2.00122	71.1131	66.8079	55.7559	78.2324	75.5338	62.856	7.15401
8	-15.1278	89.9935	43.1935	63.9845	86.2202	88.8648	83.6567	79.4069
9	2.81333	92.1263	75.8344	57.3626	52.4991	-211.312	79.2909	86.0703
