week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4	Gen 5	Gen 6	Gen 7	Gen 8
0	-1.6027242683180798	64.96813099456344	86.422149117682	47.00609370789813	95.74154097067436	79.90649074607357	92.07838749684501	94.789177049548	66.90993554191185
1	-13.49455879261319	48.66115433434393	77.81487187356595	71.64978552461588	94.76938594299229	71.75077469025321	90.75706117495635	92.80053605122882	91.21061357412185
2	14.193057111523924	57.645569133841036	90.76440861754142	-20.001185361016717	92.34074781283222	95.07108998369543	65.90534834160697	93.98149278953176	82.58394977012622
3	44.875401589079814	77.49504186183728	-34743.8857083953	70.85426690411768	95.19767110993489	93.35022129714964	96.2788839888404	95.98639800573177	94.25820468199512
4	72.93251795344655	91.01322285413629	-6069100.100023583	82.87895788219639	95.11092469378215	96.47902446617307	93.88102248465236	95.08816562406683	93.4942192543019
5	92.15813695931136	88.71211100025398	-Infinity	89.50469028495546	93.95599331462738	85.53589790604184	92.84721783547239	91.67391335954335	93.67569061392726
6	90.9106325467015	93.32337490003162	-3868692.5289928927	95.57693442094292	97.70210761319528	98.23493546453402	95.18249645749884	99.08458791399063	95.03053162026904
7	14.129096175270316	36.68067882767235	-2287.3478815359676	46.70899565638037	84.88911621567887	59.99622564636753	28.47445066476717	74.80936748204302	81.11416098607609
8	-20.416784020833873	39.831083368365086	56.49121484982539	82.57060229592776	69.52482476233432	67.37130733625068	57.35058159565901	84.97046800809393	77.60599550432725
9	1.4520253606399751	67.14623861127961	-1455.2530372341423	83.34089225552711	90.5833460694994	86.99965565390542	62.870334199011246	93.87331926083002	69.41199367066316
