week	Gen 0	Gen 1	Gen 2	Gen 3
0	82.49698559002128	99.5034618286567	3.102087679863054	98.80617475002569
1	95.80817299753866	99.16631447252227	-9.019814689222889	99.33367370093313
2	1.4418772660412476	93.8510776697137	33.289116024005786	99.03678768523395
3	89.15150786628104	99.58222292815543	10.408788226255268	98.9746691109708
4	95.80955396525414	99.43002047763652	-9.649755164152586	99.10317709054662
5	97.98000202028379	99.35600619276367	0.495795347651225	98.23646299054569
6	96.5509347303946	99.26699281903507	-11.147225656730912	98.68991511820975
7	93.81356020441363	98.2501429368488	1.5121476837961831	95.6415844944167
8	69.56914275777586	98.33316403520136	-12.030487533059741	96.33845608358746
9	81.86424381811015	98.66671146860891	3.4693740311071823	97.84561115891448
