week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4
0	4.91306267734317	15.703016222022441	4.483424217760099	1.440089875835687	124.4321830118044
1	7.844710165900043	18.203449353264148	5.029607264091496	2.1665053563887344	161.06777841342034
2	5.901421401277901	10.250700706418357	4.334783142470627	3.440278780270093	59.08347054986157
3	5.750815899374754	7.032980411095323	3.0619870156234743	2.189471180620046	96.7586664190743
4	6.983287683564839	6.743844180333113	5.327493654245949	2.3869729355226337	186.9479530952533
5	5.530890370099538	5.036716824995338	3.5047175316429247	2.0032179793984284	272.25630873210605
6	7.008442354530324	8.226255490111509	3.118072565419581	2.2013715038386694	163.5336052672685
7	7.350753887876245	2.1106862235646133	2.915431411742606	0.6498164214741964	130.38701715941977
8	10.495796125970742	2.7123948223864858	4.9258533272797855	1.0799712002386563	149.513779296723
9	9.828279656524089	6.957874856456307	3.068763902075455	1.2714275151210606	127.27478467951312
