week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4	Gen 5	Gen 6	Gen 7
0	113.07384182012929	0.05768548765894379	1.1517141961557074	0.243432849628132	5.596477556919125	0.040802359055796995	2.0245714754183988	0.07677931435293155
1	172.70147287857478	0.044804959206572056	0.7312358920076012	0.5622428899777667	3.375412322212218	0.3879350573866939	0.5053910132542914	0.533121108344587
2	41.74807518912473	0.032365844113009676	0.19968223088695988	1.3979225418172867	10.80131275674159	0.04892539411735245	0.9979472540776051	0.28870214892257956
3	86.61907190925069	0.05918093097043094	0.696839961046883	0.5011911994251391	1.3997812372105727	0.06625941019653543	0.6540413954215009	0.10239359228394578
4	199.33468518898354	0.06168289215767182	3.188450875188665	0.603225205310527	0.8059787361409169	0.043052255574586626	2.3162319296479854	0.09862570798991492
5	267.7007916642833	0.05206751723587848	1.3599489218399132	1.4912573153588773	0.6274964051530783	0.04430966482116637	1.1175585549936937	0.1386842447540986
6	175.1428445651311	0.033966977720979216	1.7032134640788548	0.5823138361894467	0.4275591033158499	0.004236283884659775	4.246498024873277	0.038158286197027186
7	124.62067025804987	0.13005500458172842	1.7297906352508061	1.3847375869189167	0.06083229426748508	0.03719043309796401	2.594505392321333	0.8592176675766893
8	166.5690667698672	0.07388402638380455	4.053488488404775	1.8668651339823228	0.10286151614269637	0.04287013771080292	1.0325666184984181	0.2579755197229808
9	117.84290889478119	0.0758907216476965	1.3308129383311968	2.8007059502210567	2.2463785881057023	1.7025204121071285	1.252545577614631	0.21201211995718927
