Week	Adaptive 0	Adaptive 1	Adaptive 2	Adaptive 3	Adaptive 4	Adaptive 5	Adaptive 6
0	0.582631	6.73926	0.212274	0.275403	0.032875	113.396
1	0.469795	4.335	0.163182	0.137435	0.0968349	172.573
2	2.2907	10.4059	0.297883	0.818291	0.041766	41.3876
3	0.231677	1.78866	0.0497402	0.444944	0.059359	87.3851
4	1.14013	1.24106	0.0724358	0.798121	0.0769196	202.76
5	0.496763	0.311144	0.0780571	0.284642	0.0587524	270.383
6	3.57462	0.916128	0.00681035	0.231162	0.031418	177.319
7	0.96416	0.666571	0.116822	0.218155	0.0547372	128.35
8	1.95065	5.94998	0.344872	0.288752	0.0452786	164.212
9	2.44918	4.54815	0.0640752	0.142306	0.0481934	119.271
