week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4	Gen 5
0	22.770909150860614	26.47818329995455	44.11402217931787	29.196572214234063	43.75972297312547	9.192955126952484
1	29.936989512219537	24.003016917030827	42.37273335199751	40.41784980957249	19.023020031706576	6.641140037589641
2	20.77470120302323	2.7904679376910657	16.576456950595798	21.05632485209238	17.99902553230739	28.271774806373312
3	36.53689065336959	12.876517444253398	57.783320648748706	3.8420452086302586	31.730587187598918	8.606268206713356
4	23.339102041325223	17.088605099131836	46.15961421013861	6.390818891403639	24.861862076485487	0.9086575748959811
5	28.26034737157294	38.10632178973705	49.03716137598089	12.546873410203792	46.861521935046305	1.6961308003820812
6	0.1649505844740233	1.6590232397631557	4.6643750108249025	2.310402234926238	5.038934644217115	0.0207397463695254
7	22.185820749429475	1.0089538935630815	14.167375557958465	33.63819825462473	33.72307056519266	3.3698247873799554
8	28.601223094322954	0.5319694394378397	6.758633541192729	33.83206586566463	45.19831511892027	7.09870294867018
9	14.315332510432519	0.20025524109825166	14.183784597572066	25.71798783644772	20.950856763246406	7.883908165604144
