week	Gen 0	Gen 1	Gen 2	Gen 3
0	23.29649342027419	3.243806947626272	119.46156974935269	4.969905887512521
1	25.217116228979833	4.781815800044882	160.60744793441597	3.7056705896245354
2	12.308274560647298	4.9792909767243465	63.30443846005227	2.4186505828747737
3	9.838913184238933	4.475803281765359	98.16974531678557	2.3094591429981417
4	13.591935025081185	4.38478191062023	186.98869333760103	3.4241412756173943
5	10.117220079433253	3.7313552789039797	272.0450527561205	2.438223323785518
6	13.856538389572208	3.2302423536041296	163.2975751544153	3.7033912835768916
7	7.374880797093773	1.4601893058844002	131.22161378794362	3.3570212131555586
8	12.156925304476495	1.895452907684291	150.28659841883518	4.388818141601881
9	15.040187432588851	2.2383657950224247	127.3398574455075	3.7827199365711692
