week	Gen 0	Gen 1	Gen 2	Gen 3	Gen 4	Gen 5
0	94.57756566652088	72.77922064091476	93.47966004058627	94.52467808147753	97.60370103400558	-3.468922006560346
1	95.2030524735858	83.34410392438886	97.41868989423182	96.89894112205793	96.92655507192633	-15.640076820836288
2	72.02038107886018	1.1039195646127578	91.96922911480625	70.86509970241326	98.24640954249318	23.90435647933426
3	96.40047480139226	80.7979642105566	97.83424607914151	87.93850303616408	97.77734445106145	0.8128250473262683
4	88.46997793644866	90.469007470969	97.3698181063722	91.32551145206574	97.42506933144863	-17.771700484208264
5	95.562586418312	95.9042052448576	97.10280707832999	95.22729352620728	97.65054717709508	-3.0360339597604495
6	74.55486358622395	90.2161802945687	99.54795220245573	97.96996008664561	98.6455425390771	-19.696944018123105
7	83.06496454691116	86.20212560126285	94.3043340909193	93.64459561593674	95.90813775699947	-4.378699402723497
8	80.32078805947673	35.20617980071762	88.0206032877613	96.27680824382203	95.42698173373836	-19.742332060918915
9	78.47843749912956	74.02752559891096	98.33009158486358	97.0942731829536	96.1858263166805	-5.034475343822932
