week	Spectral 0
0	123.48398922737147
1	165.65527119474825
2	55.15439043623542
3	92.27557604218339
4	196.6710743409451
5	272.90265832882733
6	183.4567133605408
7	131.5294659949061
8	150.33314666897297
9	130.67269271127975
